Created by:,MLEM,
Model Description:, Model Peroral con Output,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         0,                     5,                     2,                     0,
Number, IndividID,                'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'SDinter              ', 'SDslope              ', 'NegLogLikelihood     ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'R(   1)              ', 'KE-mean              ', 'KA1-mean             ', 'V-mean               ', 'F-mean               ', 'KA2-mean             ', 'modeKE               ', 'modeKA1              ', 'modeV                ', 'modeF                ', 'modeKA2              ',
       ,ParameterEstimated?   ,    Y,                       Y,                       Y,                       Y,                       Y,                       N,                       Y,
1,      'S1A                 ',    0.229761    ,             1.50511    ,             26.1760    ,            0.996116    ,             2.80167    ,            0.100000    ,           -0.410775E-02,            -16.8614    ,            0.266063E-05,           -0.102409E-05,            0.722152E-05,           -0.545748E-06,            0.951679E-06,            0.875857E-03,            0.387586E-06,           -0.763420E-06,            0.875262E-03,            0.875738E-03,           -0.294641E-08,            0.389472E-08,           -0.121486E-06,           -0.117529E-06,            0.170198E-04,             1.00000    ,            0.154308E-04,            0.125782E-03,            0.754811E-01,           -0.215594E-02,           -0.216296E-03,            0.229914    ,             1.50461    ,             26.3003    ,             1.00109    ,             2.80124    ,
2,      'S2A                 ',    0.229761    ,             1.50525    ,             25.7256    ,             1.00837    ,             2.80167    ,            0.100000    ,           -0.410775E-02,            -16.7133    ,            0.263871E-05,           -0.109092E-05,            0.669179E-05,           -0.589243E-06,            0.918659E-06,            0.875687E-03,            0.343376E-06,           -0.708256E-06,            0.875152E-03,            0.875566E-03,           -0.234763E-08,            0.681662E-08,            0.911909E-08,            0.491924E-08,            0.170857E-04,             1.00000    ,            0.151522E-04,            0.266311E-03,           -0.374920    ,            0.100983E-01,           -0.221733E-03,            0.229794    ,             1.50536    ,             25.6093    ,             1.00366    ,             2.80157    ,
3,      'S3A                 ',    0.229751    ,             1.50483    ,             26.6514    ,            0.983792    ,             2.80170    ,            0.100000    ,           -0.410775E-02,            -16.5515    ,            0.268564E-05,           -0.949743E-06,            0.772382E-05,           -0.539524E-06,            0.112889E-05,            0.874099E-03,            0.397505E-06,           -0.662051E-06,            0.873360E-03,            0.873830E-03,            0.202538E-07,            0.612308E-08,            0.341489E-07,            0.408311E-07,            0.170376E-04,             1.00000    ,            0.545974E-05,           -0.154736E-03,            0.550953    ,           -0.144797E-01,           -0.192920E-03,            0.229720    ,             1.50613    ,             26.7844    ,            0.988564    ,             2.80114    ,
4,      'S4A                 ',    0.229758    ,             1.50476    ,             26.9772    ,            0.975381    ,             2.80166    ,            0.100000    ,           -0.410775E-02,            -16.2432    ,            0.270758E-05,           -0.909090E-06,            0.806079E-05,           -0.511638E-06,            0.112448E-05,            0.873539E-03,            0.428951E-06,           -0.707620E-06,            0.872761E-03,            0.873293E-03,           -0.112457E-07,           -0.241743E-08,            0.128335E-06,            0.120549E-06,            0.170719E-04,             1.00000    ,            0.123242E-04,           -0.215619E-03,            0.876659    ,           -0.228907E-01,           -0.225840E-03,            0.229748    ,             1.50500    ,             27.0327    ,            0.977151    ,             2.80092    ,
5,      'S5A                 ',    0.229758    ,             1.50492    ,             25.4341    ,             1.01641    ,             2.80169    ,            0.100000    ,           -0.410775E-02,            -16.6204    ,            0.261457E-05,           -0.112525E-05,            0.628567E-05,           -0.577723E-06,            0.896894E-06,            0.874174E-03,            0.348042E-06,           -0.659993E-06,            0.873631E-03,            0.873959E-03,           -0.120203E-08,           -0.115878E-07,            0.278099E-06,            0.282373E-06,            0.170883E-04,             1.00000    ,            0.116621E-04,           -0.642812E-04,           -0.666369    ,            0.181414E-01,           -0.198163E-03,            0.229776    ,             1.50598    ,             25.2596    ,             1.00937    ,             2.80194    ,
6,      'S6A                 ',    0.229781    ,             1.50575    ,             25.0174    ,             1.02812    ,             2.80168    ,            0.100000    ,           -0.410775E-02,            -16.0317    ,            0.257780E-05,           -0.118253E-05,            0.570648E-05,           -0.587096E-06,            0.817367E-06,            0.875389E-03,            0.329060E-06,           -0.643982E-06,            0.874894E-03,            0.875172E-03,           -0.101589E-08,            0.396102E-08,           -0.193161E-06,           -0.199978E-06,            0.170453E-04,             1.00000    ,            0.347105E-04,            0.769947E-03,            -1.08314    ,            0.298518E-01,           -0.205914E-03,            0.229729    ,             1.50610    ,             24.8472    ,             1.02106    ,             2.80086    ,
7,      'S7A                 ',    0.229753    ,             1.50462    ,             27.4931    ,            0.962635    ,             2.80168    ,            0.100000    ,           -0.410775E-02,            -15.5698    ,            0.273697E-05,           -0.836794E-06,            0.852707E-05,           -0.450155E-06,            0.136720E-05,            0.875546E-03,            0.497640E-06,           -0.539873E-06,            0.874689E-03,            0.875315E-03,            0.124528E-08,           -0.103168E-07,            0.322260E-06,            0.323550E-06,            0.170198E-04,             1.00000    ,            0.710495E-05,           -0.363503E-03,             1.39265    ,           -0.356366E-01,           -0.211831E-03,            0.229681    ,             1.50579    ,             27.4527    ,            0.960950    ,             2.80094    ,
8,      'S8A                 ',    0.229766    ,             1.50501    ,             26.8140    ,            0.979578    ,             2.80168    ,            0.100000    ,           -0.410775E-02,            -16.3720    ,            0.269511E-05,           -0.934683E-06,            0.790750E-05,           -0.625596E-06,            0.943116E-06,            0.874610E-03,            0.314244E-06,           -0.865524E-06,            0.873930E-03,            0.874508E-03,           -0.435885E-08,            0.104385E-07,           -0.254324E-06,           -0.254530E-06,            0.171279E-04,             1.00000    ,            0.202739E-04,            0.344076E-04,            0.713541    ,           -0.186937E-01,           -0.212919E-03,            0.229715    ,             1.50429    ,             26.7524    ,            0.977682    ,             2.80222    ,
9,      'S9A                 ',    0.229757    ,             1.50523    ,             25.5799    ,             1.01237    ,             2.80167    ,            0.100000    ,           -0.410775E-02,            -16.8580    ,            0.262133E-05,           -0.110289E-05,            0.647565E-05,           -0.521256E-06,            0.878294E-06,            0.875057E-03,            0.403932E-06,           -0.712484E-06,            0.874488E-03,            0.874828E-03,            0.439073E-08,            0.565239E-08,            0.377969E-06,            0.378762E-06,            0.170259E-04,             1.00000    ,            0.108561E-04,            0.252962E-03,           -0.520551    ,            0.140997E-01,           -0.215980E-03,            0.229752    ,             1.50555    ,             25.4955    ,             1.00915    ,             2.80445    ,
