Created by:,MLEM,
Model Description:, Model Peroral con Output,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         0,                     5,                     2,                     0,
Number, IndividID,                'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'SDinter              ', 'SDslope              ', 'NegLogLikelihood     ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'R(   1)              ', 'KE-mean              ', 'KA1-mean             ', 'V-mean               ', 'F-mean               ', 'KA2-mean             ', 'modeKE               ', 'modeKA1              ', 'modeV                ', 'modeF                ', 'modeKA2              ',
10,     'S10A                ',    0.229804    ,             1.50532    ,             25.7401    ,             1.00786    ,             2.80169    ,            0.100000    ,           -0.410775E-02,            -16.5814    ,            0.263796E-05,           -0.108469E-05,            0.668912E-05,           -0.517940E-06,            0.100399E-05,            0.874309E-03,            0.414694E-06,           -0.621365E-06,            0.873744E-03,            0.874131E-03,            0.357625E-08,           -0.594814E-08,           -0.430833E-06,           -0.430275E-06,            0.170549E-04,             1.00000    ,            0.583350E-04,            0.342764E-03,           -0.360354    ,            0.958806E-02,           -0.196930E-03,            0.229867    ,             1.50545    ,             25.8880    ,             1.01375    ,             2.80150    ,
11,     'S11A                ',    0.229802    ,             1.50498    ,             25.4480    ,             1.01591    ,             2.80167    ,            0.100000    ,           -0.410775E-02,            -16.4786    ,            0.260919E-05,           -0.112487E-05,            0.631036E-05,           -0.633336E-06,            0.998573E-06,            0.874323E-03,            0.290175E-06,           -0.566293E-06,            0.873763E-03,            0.874079E-03,           -0.275539E-08,           -0.192734E-09,            0.275906E-06,            0.273981E-06,            0.170627E-04,             1.00000    ,            0.556876E-04,            0.212044E-05,           -0.652503    ,            0.176346E-01,           -0.216358E-03,            0.229729    ,             1.50674    ,             25.4394    ,             1.01522    ,             2.80290    ,
12,     'S12A                ',    0.229808    ,             1.50532    ,             25.7407    ,             1.00788    ,             2.80170    ,            0.100000    ,           -0.410775E-02,            -16.5487    ,            0.263956E-05,           -0.108356E-05,            0.669108E-05,           -0.517580E-06,            0.917142E-06,            0.875487E-03,            0.414191E-06,           -0.707438E-06,            0.874928E-03,            0.875320E-03,            0.486279E-09,           -0.344366E-08,           -0.269900E-06,           -0.267126E-06,            0.170767E-04,             1.00000    ,            0.623432E-04,            0.342166E-03,           -0.359824    ,            0.961144E-02,           -0.190712E-03,            0.229878    ,             1.50522    ,             26.0111    ,             1.01848    ,             2.80444    ,
13,     'S1B                 ',    0.229695    ,             1.50489    ,             26.2908    ,            0.998429    ,             2.80171    ,            0.100000    ,           -0.410775E-02,            -17.0796    ,            0.251090E-05,            0.566301E-08,            0.133117E-04,           -0.666104E-06,           -0.243358E-09,            0.434672E-06,            0.107318E-08,            0.289822E-06,           -0.279275E-07,            0.148619E-02,           -0.111390E-05,            0.540458E-09,            0.970670E-06,           -0.370601E-07,            0.625431E-05,             2.00000    ,           -0.508479E-04,           -0.913323E-04,            0.190296    ,            0.156523E-03,           -0.181088E-03,            0.229708    ,             1.50413    ,             26.2872    ,            0.997625    ,             2.79991    ,
14,     'S2B                 ',    0.229711    ,             1.50489    ,             25.2819    ,            0.998333    ,             2.80334    ,            0.100000    ,           -0.410775E-02,            -16.6312    ,            0.243405E-05,           -0.693926E-08,            0.132719E-04,           -0.635242E-06,            0.149462E-08,            0.328127E-06,           -0.603629E-07,           -0.410320E-06,            0.397975E-07,            0.148222E-02,           -0.118613E-05,            0.612822E-08,            0.835306E-06,            0.409328E-07,            0.497805E-05,             2.00000    ,           -0.348479E-04,           -0.926569E-04,           -0.818545    ,            0.611629E-04,            0.144977E-02,            0.229824    ,             1.50325    ,             25.2789    ,            0.993853    ,             2.80257    ,
15,     'S3B                 ',    0.229689    ,             1.50488    ,             27.3831    ,            0.998360    ,             2.80047    ,            0.100000    ,           -0.410775E-02,            -16.4591    ,            0.257629E-05,            0.139470E-08,            0.133142E-04,           -0.698262E-06,           -0.623875E-08,            0.568556E-06,            0.162094E-07,            0.384178E-06,           -0.680610E-08,            0.148161E-02,           -0.105422E-05,           -0.165279E-07,            0.110704E-05,            0.888656E-08,            0.753413E-05,             2.00000    ,           -0.568888E-04,           -0.100678E-03,             1.28266    ,            0.876136E-04,           -0.141748E-02,            0.229786    ,             1.50492    ,             27.3844    ,             1.00600    ,             2.80093    ,
16,     'S4B                 ',    0.229711    ,             1.50489    ,             28.5760    ,            0.998383    ,             2.80079    ,            0.100000    ,           -0.410775E-02,            -14.8976    ,            0.262984E-05,           -0.538792E-08,            0.132535E-04,           -0.717213E-06,            0.449206E-08,            0.725120E-06,            0.300069E-07,           -0.151554E-06,            0.150449E-07,            0.148796E-02,           -0.955107E-06,            0.139526E-07,            0.120930E-05,            0.989197E-07,            0.874024E-05,             2.00000    ,           -0.352205E-04,           -0.933531E-04,             2.47553    ,            0.111439E-03,           -0.110117E-02,            0.229756    ,             1.50454    ,             28.5718    ,             1.00429    ,             2.80190    ,
17,     'S5B                 ',    0.229705    ,             1.50488    ,             24.3435    ,            0.998338    ,             2.80358    ,            0.100000    ,           -0.410775E-02,            -15.6817    ,            0.232674E-05,            0.258234E-08,            0.132633E-04,           -0.587567E-06,           -0.506400E-09,            0.238123E-06,           -0.792672E-07,            0.736108E-07,            0.509455E-07,            0.148429E-02,           -0.121420E-05,            0.171281E-08,            0.691003E-06,            0.132453E-06,            0.372138E-05,             2.00000    ,           -0.407816E-04,           -0.103220E-03,            -1.75698    ,            0.659671E-04,            0.169128E-02,            0.229688    ,             1.50418    ,             24.3456    ,             1.00332    ,             2.80485    ,
18,     'S6B                 ',    0.229731    ,             1.50489    ,             25.0327    ,            0.998352    ,             2.80320    ,            0.100000    ,           -0.410775E-02,            -16.1995    ,            0.240924E-05,            0.134547E-08,            0.133067E-04,           -0.622324E-06,            0.158322E-08,            0.302191E-06,            0.851763E-07,           -0.228713E-06,           -0.284635E-07,            0.148529E-02,           -0.118197E-05,            0.131301E-08,            0.794657E-06,           -0.815069E-07,            0.464300E-05,             2.00000    ,           -0.145535E-04,           -0.947501E-04,            -1.06780    ,            0.798398E-04,            0.130722E-02,            0.229749    ,             1.50530    ,             25.0354    ,            0.996072    ,             2.80502    ,
19,     'S7B                 ',    0.229715    ,             1.50489    ,             27.6684    ,            0.998443    ,             2.80157    ,            0.100000    ,           -0.410775E-02,            -16.3648    ,            0.258561E-05,            0.304254E-08,            0.132724E-04,           -0.702018E-06,           -0.385817E-08,            0.602792E-06,           -0.104027E-06,            0.413778E-06,            0.823411E-07,            0.148083E-02,           -0.103355E-05,           -0.136668E-07,            0.113727E-05,            0.176665E-06,            0.785674E-05,             2.00000    ,           -0.305201E-04,           -0.949266E-04,             1.56787    ,            0.171288E-03,           -0.320023E-03,            0.229687    ,             1.50579    ,             27.6687    ,             1.00443    ,             2.80030    ,
20,     'S8B                 ',    0.229694    ,             1.50488    ,             25.5246    ,            0.998318    ,             2.80220    ,            0.100000    ,           -0.410775E-02,            -16.3773    ,            0.245917E-05,            0.901293E-08,            0.133268E-04,           -0.644473E-06,           -0.398495E-08,            0.352889E-06,            0.274224E-07,           -0.271571E-06,           -0.238726E-07,            0.148547E-02,           -0.116881E-05,           -0.404183E-08,            0.866283E-06,           -0.456659E-07,            0.527129E-05,             2.00000    ,           -0.520802E-04,           -0.956395E-04,           -0.575925    ,            0.456196E-04,            0.313053E-03,            0.229677    ,             1.50682    ,             25.5252    ,             1.00418    ,             2.80308    ,
21,     'S9B                 ',    0.229703    ,             1.50488    ,             27.1040    ,            0.998432    ,             2.80145    ,            0.100000    ,           -0.410775E-02,            -16.9598    ,            0.256380E-05,           -0.955849E-08,            0.132493E-04,           -0.687804E-06,            0.883942E-08,            0.530932E-06,            0.192371E-07,           -0.106398E-06,           -0.474601E-07,            0.148081E-02,           -0.106251E-05,            0.765461E-08,            0.107103E-05,           -0.137857E-06,            0.720866E-05,             2.00000    ,           -0.427575E-04,           -0.968943E-04,             1.00351    ,            0.160141E-03,           -0.435607E-03,            0.229755    ,             1.50503    ,             27.1026    ,            0.989977    ,             2.79990    ,
22,     'S10B                ',    0.229775    ,             1.50488    ,             25.3046    ,            0.998272    ,             2.80326    ,            0.100000    ,           -0.410775E-02,            -16.5678    ,            0.242534E-05,            0.123595E-08,            0.132866E-04,           -0.633198E-06,           -0.191203E-08,            0.329420E-06,           -0.489210E-07,            0.378880E-06,           -0.149888E-07,            0.148732E-02,           -0.118002E-05,           -0.274032E-08,            0.836098E-06,           -0.135988E-08,            0.500944E-05,             2.00000    ,            0.289460E-04,           -0.103279E-03,           -0.795902    ,            0.241972E-06,            0.137162E-02,            0.229783    ,             1.50575    ,             25.3053    ,             1.01032    ,             2.80403    ,
23,     'S11B                ',    0.229778    ,             1.50489    ,             24.3639    ,            0.998434    ,             2.80340    ,            0.100000    ,           -0.410775E-02,            -15.6057    ,            0.233655E-05,            0.198234E-08,            0.133039E-04,           -0.590500E-06,           -0.795045E-09,            0.240479E-06,            0.369170E-07,            0.223276E-07,           -0.378867E-07,            0.148519E-02,           -0.120831E-05,            0.346387E-08,            0.693926E-06,           -0.145908E-06,            0.375076E-05,             2.00000    ,            0.316753E-04,           -0.947250E-04,            -1.73664    ,            0.161862E-03,            0.151038E-02,            0.229712    ,             1.50345    ,             24.3648    ,            0.998879    ,             2.80376    ,
24,     'S12B                ',    0.229742    ,             1.50489    ,             27.4110    ,            0.998328    ,             2.80060    ,            0.100000    ,           -0.410775E-02,            -16.4128    ,            0.257506E-05,           -0.586952E-08,            0.132493E-04,           -0.698988E-06,            0.181399E-08,            0.571579E-06,            0.939854E-08,           -0.114830E-06,            0.393123E-08,            0.148009E-02,           -0.104932E-05,           -0.439834E-08,            0.110431E-05,            0.630657E-07,            0.753217E-05,             2.00000    ,           -0.431464E-05,           -0.930522E-04,             1.31056    ,            0.563143E-04,           -0.129103E-02,            0.229814    ,             1.50262    ,             27.4058    ,             1.00289    ,             2.80079    ,
