"Property";"Value"
"Input";"rifabutin"
"Molar mass";"847.019 g/mol"
"Exact mass";"846.441508832 Da"
"Formula";"C46H62N4O11"
"Composition";"C (65.23%), H (7.38%), N (6.61%), O (20.78%)"
"Lipinski's rule of five";"false"
