"Property";"Value"
"Atom count";"123"
"Heavy atom count";"61"
"Asymmetric atom count";"9"
"Rotatable bond count";"5"
"Ring count";"6"
"Aromatic ring count";"1"
"Hetero ring count";"4"
"FSP3";"0.59"
"Hydrogen bond donor count";"5"
"Hydrogen bond acceptor count";"13"
"Formal charge";"0"
"Topological polar surface area";"205.55 A2"
"Polarizability";"88.74 A3"
"Molar refractivity";"232.64 cm3/mol"
