"pH";"mg/ml"
"0.0";"847.02"
"0.1";"847.02"
"0.2";"847.02"
"0.3";"847.02"
"0.4";"847.02"
"0.5";"847.02"
"0.6";"847.02"
"0.7";"847.02"
"0.8";"847.02"
"0.9";"847.02"
"1.0";"847.02"
"1.1";"847.02"
"1.2";"847.02"
"1.3";"847.02"
"1.4";"847.02"
"1.5";"847.02"
"1.6";"847.02"
"1.7";"847.02"
"1.8";"847.02"
"1.9";"847.02"
"2.0";"775.29"
"2.1";"493.22"
"2.2";"314.41"
"2.3";"200.93"
"2.4";"128.80"
"2.5";"82.88"
"2.6";"53.57"
"2.7";"34.81"
"2.8";"22.77"
"2.9";"15.01"
"3.0";"9.98"
"3.1";"6.70"
"3.2";"4.55"
"3.3";"3.13"
"3.4";"2.17"
"3.5";"1.53"
"3.6";"1.09"
"3.7";"0.79"
"3.8";"0.58"
"3.9";"0.43"
"4.0";"0.32"
"4.1";"0.24"
"4.2";"0.19"
"4.3";"0.14"
"4.4";"0.11"
"4.5";"0.09"
"4.6";"0.07"
"4.7";"0.05"
"4.8";"0.04"
"4.9";"0.03"
"5.0";"0.03"
"5.1";"0.02"
"5.2";"0.02"
"5.3";"0.01"
"5.4";"0.01"
"5.5";"0.01"
"5.6";"0.01"
"5.7";"0.01"
"5.8";"0.00"
"5.9";"0.00"
"6.0";"0.00"
"6.1";"0.00"
"6.2";"0.00"
"6.3";"0.00"
"6.4";"0.00"
"6.5";"0.00"
"6.6";"0.00"
"6.7";"0.00"
"6.8";"0.00"
"6.9";"0.00"
"7.0";"0.00"
"7.1";"0.00"
"7.2";"0.00"
"7.3";"0.00"
"7.4";"0.00"
"7.5";"0.00"
"7.6";"0.00"
"7.7";"0.00"
"7.8";"0.00"
"7.9";"0.00"
"8.0";"0.00"
"8.1";"0.00"
"8.2";"0.00"
"8.3";"0.00"
"8.4";"0.00"
"8.5";"0.00"
"8.6";"0.00"
"8.7";"0.00"
"8.8";"0.00"
"8.9";"0.00"
"9.0";"0.00"
"9.1";"0.00"
"9.2";"0.00"
"9.3";"0.00"
"9.4";"0.00"
"9.5";"0.00"
"9.6";"0.00"
"9.7";"0.00"
"9.8";"0.00"
"9.9";"0.00"
"10.0";"0.00"
"10.1";"0.00"
"10.2";"0.00"
"10.3";"0.01"
"10.4";"0.01"
"10.5";"0.01"
"10.6";"0.01"
"10.7";"0.01"
"10.8";"0.02"
"10.9";"0.02"
"11.0";"0.03"
"11.1";"0.04"
"11.2";"0.04"
"11.3";"0.06"
"11.4";"0.07"
"11.5";"0.09"
"11.6";"0.12"
"11.7";"0.15"
"11.8";"0.20"
"11.9";"0.25"
"12.0";"0.33"
"12.1";"0.44"
"12.2";"0.58"
"12.3";"0.79"
"12.4";"1.07"
"12.5";"1.47"
"12.6";"2.05"
"12.7";"2.90"
"12.8";"4.16"
"12.9";"6.04"
"13.0";"8.87"
"13.1";"13.17"
"13.2";"19.76"
"13.3";"29.92"
"13.4";"45.65"
"13.5";"70.14"
"13.6";"108.37"
"13.7";"168.24"
"13.8";"262.22"
"13.9";"410.02"
"14.0";"642.82"
