Created by:,MLEM,
Model Description:, Model Peroral con Output,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         0,                     5,                     2,                     0,
Number, IndividID,                'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'SDinter              ', 'SDslope              ', 'NegLogLikelihood     ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'R(   1)              ', 'KE-mean              ', 'KA1-mean             ', 'V-mean               ', 'F-mean               ', 'KA2-mean             ', 'modeKE               ', 'modeKA1              ', 'modeV                ', 'modeF                ', 'modeKA2              ',
       ,ParameterEstimated?   ,    Y,                       Y,                       Y,                       Y,                       Y,                       N,                       Y,
1,      'S1A                 ',    0.229887    ,             1.50516    ,             24.7346    ,            0.941404    ,             2.78256    ,            0.100000    ,           -0.407971E-02,            -14.8926    ,            0.276480E-06,           -0.142921E-05,            0.395856E-04,            0.959387E-04,            0.566388E-04,            0.591929    ,            0.414039E-05,           -0.436892E-05,            0.226290E-01,            0.866875E-03,           -0.372185E-05,            0.232107E-04,            0.185796E-02,            0.636607E-04,            0.692818E-03,             1.00000    ,            0.124461E-04,           -0.323825E-01,           -0.701944    ,           -0.109041E-01,           -0.869958E-02,            0.230097    ,             1.50406    ,             24.9265    ,            0.949080    ,             2.78033    ,
2,      'S2A                 ',    0.229875    ,             1.50513    ,             24.6207    ,            0.965209    ,             2.78174    ,            0.100000    ,           -0.407971E-02,            -14.6981    ,            0.272467E-06,           -0.138384E-05,            0.341274E-04,            0.936314E-04,           -0.147722E-04,            0.584228    ,            0.415809E-05,           -0.651315E-05,            0.230116E-01,            0.908042E-03,           -0.367923E-05,            0.221082E-04,            0.188283E-02,            0.667652E-04,            0.695996E-03,             1.00000    ,            0.165224E-06,           -0.324177E-01,           -0.815824    ,            0.129011E-01,           -0.951628E-02,            0.229883    ,             1.50547    ,             24.4980    ,            0.960210    ,             2.78123    ,
3,      'S3A                 ',    0.229885    ,             1.50495    ,             24.8231    ,            0.916442    ,             2.78349    ,            0.100000    ,           -0.407971E-02,            -14.4514    ,            0.279025E-06,           -0.145024E-05,            0.455741E-04,            0.971079E-04,            0.164573E-03,            0.599374    ,            0.407027E-05,           -0.102069E-05,            0.222147E-01,            0.825249E-03,           -0.370249E-05,            0.242429E-04,            0.193531E-02,            0.644064E-04,            0.693440E-03,             1.00000    ,            0.967282E-05,           -0.325929E-01,           -0.613472    ,           -0.358661E-01,           -0.776646E-02,            0.229888    ,             1.50703    ,             24.9607    ,            0.921347    ,             2.78238    ,
4,      'S4A                 ',    0.229898    ,             1.50513    ,             24.8807    ,            0.899703    ,             2.78384    ,            0.100000    ,           -0.407971E-02,            -13.9855    ,            0.282382E-06,           -0.148527E-05,            0.502223E-04,            0.990451E-04,            0.230154E-03,            0.603157    ,            0.406817E-05,            0.790323E-06,            0.218913E-01,            0.796523E-03,           -0.381601E-05,            0.255293E-04,            0.193090E-02,            0.625377E-04,            0.697610E-03,             1.00000    ,            0.229811E-04,           -0.324197E-01,           -0.555872    ,           -0.526043E-01,           -0.742237E-02,            0.229911    ,             1.50523    ,             24.8778    ,            0.899421    ,             2.78079    ,
5,      'S5A                 ',    0.229877    ,             1.50432    ,             24.5253    ,            0.980309    ,             2.78096    ,            0.100000    ,           -0.407971E-02,            -14.4720    ,            0.269666E-06,           -0.135094E-05,            0.305610E-04,            0.925716E-04,           -0.606535E-04,            0.579783    ,            0.418543E-05,           -0.794536E-05,            0.232870E-01,            0.936892E-03,           -0.364499E-05,            0.212800E-04,            0.190241E-02,            0.691115E-04,            0.695166E-03,             1.00000    ,            0.217810E-05,           -0.332235E-01,           -0.911191    ,            0.280011E-01,           -0.102980E-01,            0.229800    ,             1.50556    ,             24.5317    ,            0.980454    ,             2.78864    ,
6,      'S6A                 ',    0.229871    ,             1.50562    ,             24.4082    ,             1.00320    ,             2.78004    ,            0.100000    ,           -0.407971E-02,            -13.5702    ,            0.264232E-06,           -0.130103E-05,            0.261095E-04,            0.903170E-04,           -0.114356E-03,            0.571899    ,            0.419099E-05,           -0.970420E-05,            0.236227E-01,            0.977202E-03,           -0.357442E-05,            0.200467E-04,            0.180214E-02,            0.671933E-04,            0.690320E-03,             1.00000    ,           -0.427033E-05,           -0.319221E-01,            -1.02839    ,            0.508954E-01,           -0.112200E-01,            0.229794    ,             1.50620    ,             24.1806    ,            0.993726    ,             2.77879    ,
7,      'S7A                 ',    0.229890    ,             1.50533    ,             24.9421    ,            0.873399    ,             2.78471    ,            0.100000    ,           -0.407971E-02,            -12.9411    ,            0.285638E-06,           -0.151457E-05,            0.576837E-04,            0.100825E-03,            0.365295E-03,            0.612377    ,            0.401355E-05,            0.459934E-05,            0.215116E-01,            0.757766E-03,           -0.381018E-05,            0.265212E-04,            0.201477E-02,            0.633989E-04,            0.695526E-03,             1.00000    ,            0.152117E-04,           -0.322211E-01,           -0.494441    ,           -0.789089E-01,           -0.655337E-02,            0.229781    ,             1.50781    ,             24.8696    ,            0.870505    ,             2.78450    ,
8,      'S8A                 ',    0.229902    ,             1.50555    ,             24.8663    ,            0.908520    ,             2.78361    ,            0.100000    ,           -0.407971E-02,            -14.2223    ,            0.280650E-06,           -0.147297E-05,            0.480321E-04,            0.971135E-04,            0.195042E-03,            0.600165    ,            0.403464E-05,           -0.198867E-06,            0.220120E-01,            0.809272E-03,           -0.378474E-05,            0.254500E-04,            0.189677E-02,            0.620418E-04,            0.698732E-03,             1.00000    ,            0.268315E-04,           -0.319971E-01,           -0.570202    ,           -0.437877E-01,           -0.765216E-02,            0.229804    ,             1.50680    ,             24.9541    ,            0.911686    ,             2.77978    ,
9,      'S9A                 ',    0.229865    ,             1.50502    ,             24.5746    ,            0.972735    ,             2.78150    ,            0.100000    ,           -0.407971E-02,            -14.7814    ,            0.270183E-06,           -0.135824E-05,            0.322245E-04,            0.932318E-04,           -0.372784E-04,            0.581535    ,            0.417420E-05,           -0.718852E-05,            0.231274E-01,            0.921378E-03,           -0.364028E-05,            0.215372E-04,            0.190849E-02,            0.685952E-04,            0.692554E-03,             1.00000    ,           -0.962772E-05,           -0.325264E-01,           -0.861936    ,            0.204268E-01,           -0.975531E-02,            0.229851    ,             1.50529    ,             24.4684    ,            0.968623    ,             2.78775    ,
10,     'S10A                ',    0.229950    ,             1.50513    ,             24.6563    ,            0.965613    ,             2.78086    ,            0.100000    ,           -0.407971E-02,            -14.6172    ,            0.273380E-06,           -0.138713E-05,            0.341910E-04,            0.951190E-04,           -0.172942E-04,            0.585548    ,            0.421497E-05,           -0.662765E-05,            0.230412E-01,            0.908333E-03,           -0.365580E-05,            0.218055E-04,            0.178844E-02,            0.630733E-04,            0.692303E-03,             1.00000    ,            0.748979E-04,           -0.324151E-01,           -0.780199    ,            0.133057E-01,           -0.103957E-01,            0.230023    ,             1.50539    ,             24.8250    ,            0.972307    ,             2.78178    ,
11,     'S11A                ',    0.229954    ,             1.50428    ,             24.5618    ,            0.980793    ,             2.77995    ,            0.100000    ,           -0.407971E-02,            -14.3836    ,            0.268431E-06,           -0.134747E-05,            0.307835E-04,            0.920628E-04,           -0.529322E-04,            0.579235    ,            0.415970E-05,           -0.768111E-05,            0.232413E-01,            0.934118E-03,           -0.363463E-05,            0.213428E-04,            0.185494E-02,            0.670626E-04,            0.693393E-03,             1.00000    ,            0.790595E-04,           -0.332613E-01,           -0.874701    ,            0.284852E-01,           -0.113073E-01,            0.230123    ,             1.50423    ,             24.6580    ,            0.984973    ,             2.78139    ,
12,     'S12A                ',    0.229957    ,             1.50512    ,             24.6598    ,            0.965754    ,             2.78077    ,            0.100000    ,           -0.407971E-02,            -14.5898    ,            0.273180E-06,           -0.138616E-05,            0.341820E-04,            0.943608E-04,           -0.134544E-04,            0.586044    ,            0.418458E-05,           -0.647504E-05,            0.230580E-01,            0.908887E-03,           -0.367230E-05,            0.220665E-04,            0.182852E-02,            0.645789E-04,            0.693617E-03,             1.00000    ,            0.820915E-04,           -0.324286E-01,           -0.776786    ,            0.134466E-01,           -0.104940E-01,            0.230055    ,             1.50477    ,             24.9367    ,            0.976691    ,             2.78571    ,
13,     'S1B                 ',    0.229821    ,             1.57389    ,             26.2859    ,            0.957883    ,             2.79995    ,            0.100000    ,           -0.407971E-02,            -15.9949    ,            0.230367E-06,           -0.378629E-05,            0.109684E-02,           -0.793473E-05,            0.141910E-03,            0.483638E-03,            0.185601E-05,           -0.468358E-03,           -0.670193E-04,            0.202680E-02,           -0.207265E-05,            0.401087E-04,            0.141954E-03,           -0.199462E-04,            0.828786E-04,             2.00000    ,           -0.539351E-04,            0.363481E-01,            0.849315    ,            0.557491E-02,            0.868949E-02,            0.229837    ,             1.57101    ,             26.2815    ,            0.959066    ,             2.79771    ,
14,     'S2B                 ',    0.229734    ,             1.54076    ,             25.2807    ,            0.945340    ,             2.80245    ,            0.100000    ,           -0.407971E-02,            -15.8706    ,            0.219028E-06,           -0.360423E-05,            0.109066E-02,           -0.695726E-05,            0.121354E-03,            0.344457E-03,            0.174947E-05,           -0.472071E-03,           -0.563969E-04,            0.202688E-02,           -0.188561E-05,            0.353670E-04,            0.109100E-03,           -0.173923E-04,            0.620500E-04,             2.00000    ,           -0.140467E-03,            0.321463E-02,           -0.155826    ,           -0.696722E-02,            0.111921E-01,            0.229871    ,             1.53020    ,             25.2762    ,            0.945899    ,             2.80090    ,
15,     'S3B                 ',    0.229928    ,             1.60954    ,             27.3738    ,            0.971379    ,             2.79790    ,            0.100000    ,           -0.407971E-02,            -15.1106    ,            0.239989E-06,           -0.398560E-05,            0.110172E-02,           -0.899991E-05,            0.164735E-03,            0.671813E-03,            0.193503E-05,           -0.469983E-03,           -0.742809E-04,            0.202239E-02,           -0.229382E-05,            0.455145E-04,            0.182878E-03,           -0.224278E-04,            0.107583E-03,             2.00000    ,            0.535179E-04,            0.719942E-01,             1.93730    ,            0.190713E-01,            0.664068E-02,            0.230056    ,             1.60747    ,             27.3738    ,            0.980758    ,             2.79769    ,
16,     'S4B                 ',    0.230064    ,             1.64848    ,             28.5630    ,            0.986160    ,             2.79848    ,            0.100000    ,           -0.407971E-02,            -13.2794    ,            0.247794E-06,           -0.416721E-05,            0.110117E-02,           -0.100134E-04,            0.193585E-03,            0.912328E-03,            0.201853E-05,           -0.474505E-03,           -0.829629E-04,            0.203300E-02,           -0.247932E-05,            0.524846E-04,            0.228080E-03,           -0.252003E-04,            0.135185E-03,             2.00000    ,            0.189324E-03,            0.110932    ,             3.12649    ,            0.338522E-01,            0.722442E-02,            0.230151    ,             1.64471    ,             28.5566    ,            0.994927    ,             2.79859    ,
17,     'S5B                 ',    0.229648    ,             1.50984    ,             24.3446    ,            0.933836    ,             2.80314    ,            0.100000    ,           -0.407971E-02,            -15.3513    ,            0.204639E-06,           -0.331738E-05,            0.108445E-02,           -0.592881E-05,            0.100135E-03,            0.236497E-03,            0.161738E-05,           -0.465217E-03,           -0.471712E-04,            0.202506E-02,           -0.167737E-05,            0.300514E-04,            0.812458E-04,           -0.143990E-04,            0.442401E-04,             2.00000    ,           -0.227198E-03,           -0.277040E-01,            -1.09197    ,           -0.184713E-01,            0.118779E-01,            0.229641    ,             1.50537    ,             24.3460    ,            0.942888    ,             2.80412    ,
18,     'S6B                 ',    0.229746    ,             1.53200    ,             25.0317    ,            0.942598    ,             2.80224    ,            0.100000    ,           -0.407971E-02,            -15.5596    ,            0.215543E-06,           -0.352010E-05,            0.109252E-02,           -0.667415E-05,            0.115504E-03,            0.312510E-03,            0.177162E-05,           -0.472591E-03,           -0.568973E-04,            0.203062E-02,           -0.181658E-05,            0.335809E-04,            0.100815E-03,           -0.172094E-04,            0.569464E-04,             2.00000    ,           -0.128800E-03,           -0.554849E-02,           -0.404833    ,           -0.970953E-02,            0.109844E-01,            0.229697    ,             1.53698    ,             25.0330    ,            0.927345    ,             2.80369    ,
19,     'S7B                 ',    0.229976    ,             1.61876    ,             27.6589    ,            0.975015    ,             2.79955    ,            0.100000    ,           -0.407971E-02,            -14.9707    ,            0.241515E-06,           -0.401037E-05,            0.109820E-02,           -0.922462E-05,            0.170771E-03,            0.723255E-03,            0.190486E-05,           -0.466937E-03,           -0.728612E-04,            0.201896E-02,           -0.234183E-05,            0.470634E-04,            0.193761E-03,           -0.220896E-04,            0.114464E-03,             2.00000    ,            0.101312E-03,            0.812115E-01,             2.22240    ,            0.227071E-01,            0.828815E-02,            0.229938    ,             1.62700    ,             27.6600    ,            0.977849    ,             2.79858    ,
20,     'S8B                 ',    0.229745    ,             1.54880    ,             25.5222    ,            0.948298    ,             2.80088    ,            0.100000    ,           -0.407971E-02,            -15.5649    ,            0.222429E-06,           -0.362331E-05,            0.109467E-02,           -0.720572E-05,            0.124849E-03,            0.375600E-03,            0.178441E-05,           -0.472624E-03,           -0.599186E-04,            0.203037E-02,           -0.192922E-05,            0.360075E-04,            0.116320E-03,           -0.181241E-04,            0.666014E-04,             2.00000    ,           -0.129882E-03,            0.112520E-01,            0.856509E-01,           -0.400978E-02,            0.961987E-02,            0.229744    ,             1.56072    ,             25.5226    ,            0.951504    ,             2.80206    ,
