"Property";"Value"
"Atom count";"27"
"Heavy atom count";"16"
"Asymmetric atom count";"0"
"Rotatable bond count";"4"
"Ring count";"2"
"Aromatic ring count";"2"
"Hetero ring count";"2"
"FSP3";"0.38"
"Hydrogen bond donor count";"3"
"Hydrogen bond acceptor count";"7"
"Formal charge";"0"
"Topological polar surface area";"114.76 A2"
"Polarizability";"20.18 A3"
"Molar refractivity";"54.63 cm3/mol"
