"pH";"Charge"
"0.0";"1.47"
"0.1";"1.41"
"0.2";"1.36"
"0.3";"1.31"
"0.4";"1.26"
"0.5";"1.22"
"0.6";"1.18"
"0.7";"1.15"
"0.8";"1.12"
"0.9";"1.09"
"1.0";"1.07"
"1.1";"1.05"
"1.2";"1.04"
"1.3";"1.02"
"1.4";"1.01"
"1.5";"1.00"
"1.6";"0.98"
"1.7";"0.97"
"1.8";"0.96"
"1.9";"0.94"
"2.0";"0.92"
"2.1";"0.90"
"2.2";"0.87"
"2.3";"0.84"
"2.4";"0.81"
"2.5";"0.77"
"2.6";"0.73"
"2.7";"0.68"
"2.8";"0.62"
"2.9";"0.57"
"3.0";"0.51"
"3.1";"0.45"
"3.2";"0.40"
"3.3";"0.34"
"3.4";"0.29"
"3.5";"0.25"
"3.6";"0.21"
"3.7";"0.17"
"3.8";"0.14"
"3.9";"0.12"
"4.0";"0.09"
"4.1";"0.08"
"4.2";"0.06"
"4.3";"0.05"
"4.4";"0.04"
"4.5";"0.03"
"4.6";"0.03"
"4.7";"0.02"
"4.8";"0.02"
"4.9";"0.01"
"5.0";"0.01"
"5.1";"0.01"
"5.2";"0.01"
"5.3";"0.01"
"5.4";"0.00"
"5.5";"0.00"
"5.6";"0.00"
"5.7";"0.00"
"5.8";"0.00"
"5.9";"0.00"
"6.0";"0.00"
"6.1";"0.00"
"6.2";"0.00"
"6.3";"0.00"
"6.4";"0.00"
"6.5";"0.00"
"6.6";"0.00"
"6.7";"0.00"
"6.8";"0.00"
"6.9";"0.00"
"7.0";"0.00"
"7.1";"0.00"
"7.2";"0.00"
"7.3";"0.00"
"7.4";"0.00"
"7.5";"0.00"
"7.6";"0.00"
"7.7";"0.00"
"7.8";"0.00"
"7.9";"-0.00"
"8.0";"-0.00"
"8.1";"-0.00"
"8.2";"-0.00"
"8.3";"-0.00"
"8.4";"-0.00"
"8.5";"-0.00"
"8.6";"-0.00"
"8.7";"-0.00"
"8.8";"-0.00"
"8.9";"-0.00"
"9.0";"-0.00"
"9.1";"-0.00"
"9.2";"-0.00"
"9.3";"-0.00"
"9.4";"-0.00"
"9.5";"-0.00"
"9.6";"-0.00"
"9.7";"-0.01"
"9.8";"-0.01"
"9.9";"-0.01"
"10.0";"-0.01"
"10.1";"-0.01"
"10.2";"-0.02"
"10.3";"-0.02"
"10.4";"-0.03"
"10.5";"-0.03"
"10.6";"-0.04"
"10.7";"-0.05"
"10.8";"-0.06"
"10.9";"-0.08"
"11.0";"-0.09"
"11.1";"-0.12"
"11.2";"-0.14"
"11.3";"-0.17"
"11.4";"-0.21"
"11.5";"-0.25"
"11.6";"-0.29"
"11.7";"-0.34"
"11.8";"-0.40"
"11.9";"-0.45"
"12.0";"-0.51"
"12.1";"-0.57"
"12.2";"-0.62"
"12.3";"-0.68"
"12.4";"-0.72"
"12.5";"-0.77"
"12.6";"-0.81"
"12.7";"-0.84"
"12.8";"-0.87"
"12.9";"-0.90"
"13.0";"-0.92"
"13.1";"-0.94"
"13.2";"-0.95"
"13.3";"-0.97"
"13.4";"-0.98"
"13.5";"-0.99"
"13.6";"-1.01"
"13.7";"-1.02"
"13.8";"-1.03"
"13.9";"-1.05"
"14.0";"-1.06"
