"pH";"mg/ml"
"0.0";"909.53"
"0.1";"909.53"
"0.2";"909.53"
"0.3";"909.53"
"0.4";"909.53"
"0.5";"909.53"
"0.6";"909.53"
"0.7";"909.53"
"0.8";"909.53"
"0.9";"909.53"
"1.0";"909.53"
"1.1";"812.43"
"1.2";"638.54"
"1.3";"503.61"
"1.4";"398.45"
"1.5";"316.19"
"1.6";"251.65"
"1.7";"200.90"
"1.8";"160.90"
"1.9";"129.34"
"2.0";"104.39"
"2.1";"84.65"
"2.2";"69.02"
"2.3";"56.64"
"2.4";"46.83"
"2.5";"39.05"
"2.6";"32.87"
"2.7";"27.97"
"2.8";"24.09"
"2.9";"21.00"
"3.0";"18.55"
"3.1";"16.60"
"3.2";"15.06"
"3.3";"13.83"
"3.4";"12.86"
"3.5";"12.08"
"3.6";"11.47"
"3.7";"10.98"
"3.8";"10.59"
"3.9";"10.28"
"4.0";"10.04"
"4.1";"9.85"
"4.2";"9.69"
"4.3";"9.57"
"4.4";"9.47"
"4.5";"9.39"
"4.6";"9.33"
"4.7";"9.28"
"4.8";"9.24"
"4.9";"9.21"
"5.0";"9.19"
"5.1";"9.17"
"5.2";"9.15"
"5.3";"9.14"
"5.4";"9.13"
"5.5";"9.13"
"5.6";"9.12"
"5.7";"9.11"
"5.8";"9.11"
"5.9";"9.11"
"6.0";"9.10"
"6.1";"9.10"
"6.2";"9.10"
"6.3";"9.10"
"6.4";"9.10"
"6.5";"9.10"
"6.6";"9.10"
"6.7";"9.10"
"6.8";"9.10"
"6.9";"9.10"
"7.0";"9.10"
"7.1";"9.10"
"7.2";"9.10"
"7.3";"9.10"
"7.4";"9.10"
"7.5";"9.10"
"7.6";"9.10"
"7.7";"9.10"
"7.8";"9.10"
"7.9";"9.10"
"8.0";"9.10"
"8.1";"9.10"
"8.2";"9.10"
"8.3";"9.10"
"8.4";"9.10"
"8.5";"9.10"
"8.6";"9.10"
"8.7";"9.10"
"8.8";"9.10"
"8.9";"9.10"
"9.0";"9.10"
"9.1";"9.11"
"9.2";"9.11"
"9.3";"9.11"
"9.4";"9.12"
"9.5";"9.13"
"9.6";"9.13"
"9.7";"9.14"
"9.8";"9.15"
"9.9";"9.17"
"10.0";"9.19"
"10.1";"9.21"
"10.2";"9.24"
"10.3";"9.28"
"10.4";"9.33"
"10.5";"9.39"
"10.6";"9.47"
"10.7";"9.57"
"10.8";"9.69"
"10.9";"9.84"
"11.0";"10.03"
"11.1";"10.28"
"11.2";"10.58"
"11.3";"10.97"
"11.4";"11.45"
"11.5";"12.06"
"11.6";"12.83"
"11.7";"13.80"
"11.8";"15.02"
"11.9";"16.55"
"12.0";"18.48"
"12.1";"20.91"
"12.2";"23.97"
"12.3";"27.82"
"12.4";"32.67"
"12.5";"38.77"
"12.6";"46.45"
"12.7";"56.13"
"12.8";"68.30"
"12.9";"83.63"
"13.0";"102.93"
"13.1";"127.23"
"13.2";"157.82"
"13.3";"196.33"
"13.4";"244.81"
"13.5";"305.84"
"13.6";"382.67"
"13.7";"479.40"
"13.8";"601.18"
"13.9";"754.48"
"14.0";"909.53"
