Created by:,MLEM,
Model Description:, Model Peroral con Output,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         0,                     5,                     2,                     0,
Number, IndividID,                'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'SDinter              ', 'SDslope              ', 'NegLogLikelihood     ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'R(   1)              ', 'KE-mean              ', 'KA1-mean             ', 'V-mean               ', 'F-mean               ', 'KA2-mean             ', 'modeKE               ', 'modeKA1              ', 'modeV                ', 'modeF                ', 'modeKA2              ',
10,     'S10A                ',    0.229846    ,             1.50512    ,             25.7143    ,             1.00692    ,             2.80088    ,            0.100000    ,           -0.410219E-02,            -16.4608    ,            0.169393E-06,           -0.531544E-06,            0.182129E-04,           -0.392098E-05,            0.482561E-04,            0.563005    ,            0.119010E-06,           -0.116470E-05,            0.220292E-01,            0.863074E-03,            0.382663E-08,           -0.822520E-07,           -0.381775E-04,           -0.147721E-05,            0.206370E-03,             1.00000    ,            0.698462E-04,            0.449525E-03,           -0.397385    ,            0.967449E-02,           -0.439715E-03,            0.229880    ,             1.50525    ,             25.8679    ,             1.01299    ,             2.80084    ,
11,     'S11A                ',    0.229845    ,             1.50472    ,             25.4033    ,             1.01421    ,             2.80085    ,            0.100000    ,           -0.410219E-02,            -16.3408    ,            0.167080E-06,           -0.542620E-06,            0.170513E-04,           -0.468065E-05,            0.477261E-04,            0.549488    ,            0.837773E-07,           -0.103838E-05,            0.219211E-01,            0.875555E-03,           -0.287840E-08,            0.435101E-08,            0.162226E-04,            0.633576E-06,            0.206457E-03,             1.00000    ,            0.682558E-04,            0.542469E-04,           -0.708315    ,            0.169598E-01,           -0.467863E-03,            0.229854    ,             1.50340    ,             25.4964    ,             1.01794    ,             2.80214    ,
12,     'S12A                ',    0.229851    ,             1.50512    ,             25.7149    ,             1.00695    ,             2.80088    ,            0.100000    ,           -0.410219E-02,            -16.4294    ,            0.169442E-06,           -0.531531E-06,            0.182184E-04,           -0.437295E-05,            0.498858E-04,            0.564655    ,            0.101053E-06,           -0.110333E-05,            0.220919E-01,            0.865452E-03,            0.389262E-08,           -0.229284E-07,           -0.274738E-04,           -0.106572E-05,            0.206544E-03,             1.00000    ,            0.744925E-04,            0.447941E-03,           -0.396750    ,            0.970238E-02,           -0.443394E-03,            0.229957    ,             1.50491    ,             25.9879    ,             1.01775    ,             2.80443    ,
13,     'S1B                 ',    0.229715    ,             1.50449    ,             26.2900    ,            0.996213    ,             2.80138    ,            0.100000    ,           -0.410219E-02,            -16.9033    ,            0.159640E-06,            0.290257E-08,            0.432672E-04,           -0.498184E-05,           -0.331994E-07,            0.343275E-03,           -0.906298E-09,            0.501315E-06,           -0.671644E-06,            0.140543E-02,           -0.980713E-06,            0.844621E-08,            0.873794E-04,           -0.115525E-06,            0.576736E-04,             2.00000    ,           -0.610393E-04,           -0.179185E-03,            0.178303    ,           -0.103562E-02,            0.555575E-04,            0.229729    ,             1.50362    ,             26.2866    ,            0.997424    ,             2.79966    ,
14,     'S2B                 ',    0.229729    ,             1.50449    ,             25.2815    ,            0.996119    ,             2.80321    ,            0.100000    ,           -0.410219E-02,            -16.4162    ,            0.154049E-06,           -0.308722E-08,            0.431395E-04,           -0.452678E-05,            0.744400E-07,            0.242503E-03,           -0.141802E-07,           -0.714119E-06,            0.101445E-05,            0.140168E-02,           -0.100559E-05,            0.404912E-07,            0.708862E-04,            0.156678E-06,            0.449494E-04,             2.00000    ,           -0.474463E-04,           -0.180716E-03,           -0.830196    ,           -0.112922E-02,            0.188581E-02,            0.229682    ,             1.50380    ,             25.2847    ,             1.00763    ,             2.80315    ,
15,     'S3B                 ',    0.229712    ,             1.50448    ,             27.3819    ,            0.996153    ,             2.79988    ,            0.100000    ,           -0.410219E-02,            -16.3279    ,            0.164278E-06,            0.312533E-09,            0.432632E-04,           -0.547026E-05,           -0.305130E-06,            0.481328E-03,            0.448671E-08,            0.510141E-06,           -0.438044E-06,            0.140149E-02,           -0.959501E-06,           -0.741295E-07,            0.106108E-03,           -0.468269E-07,            0.712293E-04,             2.00000    ,           -0.642930E-04,           -0.190732E-03,             1.27022    ,           -0.109605E-02,           -0.144342E-02,            0.229842    ,             1.50454    ,             27.3819    ,             1.00640    ,             2.79980    ,
16,     'S4B                 ',    0.229739    ,             1.50449    ,             28.5744    ,            0.996170    ,             2.80013    ,            0.100000    ,           -0.410219E-02,            -14.6914    ,            0.167985E-06,           -0.248483E-08,            0.430701E-04,           -0.588776E-05,            0.230493E-06,            0.660492E-03,            0.137796E-07,           -0.275256E-06,            0.451081E-06,            0.140625E-02,           -0.898124E-06,            0.787698E-07,            0.123599E-03,            0.339577E-06,            0.846562E-04,             2.00000    ,           -0.378930E-04,           -0.181455E-03,             2.46276    ,           -0.107879E-02,           -0.118784E-02,            0.229800    ,             1.50372    ,             28.5697    ,             1.00175    ,             2.80061    ,
17,     'S5B                 ',    0.229720    ,             1.50448    ,             24.3432    ,            0.996127    ,             2.80345    ,            0.100000    ,           -0.410219E-02,            -15.4962    ,            0.146409E-06,            0.142860E-08,            0.431144E-04,           -0.399268E-05,           -0.358826E-07,            0.165253E-03,           -0.162818E-07,            0.176708E-06,            0.123295E-05,            0.140355E-02,           -0.994474E-06,            0.327156E-08,            0.554747E-04,            0.392924E-06,            0.330362E-04,             2.00000    ,           -0.565980E-04,           -0.192727E-03,            -1.76850    ,           -0.112169E-02,            0.212805E-02,            0.229703    ,             1.50356    ,             24.3453    ,             1.00051    ,             2.80476    ,
18,     'S6B                 ',    0.229753    ,             1.50449    ,             25.0321    ,            0.996139    ,             2.80302    ,            0.100000    ,           -0.410219E-02,            -15.9901    ,            0.152313E-06,            0.405747E-09,            0.432441E-04,           -0.438215E-05,            0.854560E-07,            0.219648E-03,            0.180206E-07,           -0.406682E-06,           -0.670123E-06,            0.140503E-02,           -0.993702E-06,            0.736858E-08,            0.663881E-04,           -0.234020E-06,            0.416652E-04,             2.00000    ,           -0.238285E-04,           -0.182806E-03,            -1.07954    ,           -0.110926E-02,            0.170112E-02,            0.229774    ,             1.50490    ,             25.0348    ,            0.993459    ,             2.80491    ,
19,     'S7B                 ',    0.229741    ,             1.50449    ,             27.6672    ,            0.996228    ,             2.80113    ,            0.100000    ,           -0.410219E-02,            -16.2263    ,            0.164951E-06,            0.151281E-08,            0.431257E-04,           -0.556107E-05,           -0.198850E-06,            0.519276E-03,           -0.297216E-07,            0.775866E-06,            0.259243E-05,            0.140080E-02,           -0.947023E-06,           -0.743346E-07,            0.110573E-03,            0.512423E-06,            0.747465E-04,             2.00000    ,           -0.351716E-04,           -0.183137E-03,             1.55551    ,           -0.102078E-02,           -0.190623E-03,            0.229705    ,             1.50579    ,             27.6679    ,             1.00385    ,             2.79971    ,
20,     'S8B                 ',    0.229712    ,             1.50449    ,             25.5239    ,            0.996107    ,             2.80196    ,            0.100000    ,           -0.410219E-02,            -16.1716    ,            0.155894E-06,            0.377454E-08,            0.433201E-04,           -0.465010E-05,           -0.195020E-06,            0.265109E-03,            0.740525E-08,           -0.524765E-06,           -0.619499E-06,            0.140489E-02,           -0.999660E-06,           -0.288972E-07,            0.745658E-04,           -0.177389E-06,            0.478004E-04,             2.00000    ,           -0.646367E-04,           -0.183807E-03,           -0.587714    ,           -0.114149E-02,            0.633713E-03,            0.229695    ,             1.50672    ,             25.5246    ,             1.00133    ,             2.80288    ,
21,     'S9B                 ',    0.229726    ,             1.50449    ,             27.1029    ,            0.996224    ,             2.80104    ,            0.100000    ,           -0.410219E-02,            -16.8182    ,            0.163320E-06,           -0.411850E-08,            0.430628E-04,           -0.532691E-05,            0.479546E-06,            0.441509E-03,            0.274432E-08,           -0.277459E-06,           -0.111625E-05,            0.140006E-02,           -0.959687E-06,            0.604432E-07,            0.100982E-03,           -0.290662E-06,            0.677102E-04,             2.00000    ,           -0.500334E-04,           -0.184740E-03,            0.991290    ,           -0.102491E-02,           -0.282327E-03,            0.229783    ,             1.50466    ,             27.1015    ,            0.989854    ,             2.79970    ,
22,     'S10B                ',    0.229805    ,             1.50448    ,             25.3038    ,            0.996066    ,             2.80305    ,            0.100000    ,           -0.410219E-02,            -16.3675    ,            0.153534E-06,            0.653625E-09,            0.431799E-04,           -0.451701E-05,           -0.924303E-07,            0.243765E-03,           -0.108406E-07,            0.692665E-06,           -0.359786E-06,            0.140621E-02,           -0.100044E-05,           -0.201446E-07,            0.710180E-04,           -0.464142E-08,            0.452402E-04,             2.00000    ,            0.279954E-04,           -0.192339E-03,           -0.807891    ,           -0.118305E-02,            0.172740E-02,            0.229817    ,             1.50543    ,             25.3043    ,             1.00726    ,             2.80381    ,
23,     'S11B                ',    0.229805    ,             1.50449    ,             24.3632    ,            0.996221    ,             2.80317    ,            0.100000    ,           -0.410219E-02,            -15.4359    ,            0.147035E-06,            0.103089E-08,            0.432463E-04,           -0.401513E-05,           -0.369719E-07,            0.167041E-03,            0.979422E-08,            0.500912E-07,           -0.999058E-06,            0.140507E-02,           -0.990654E-06,            0.205972E-07,            0.557491E-04,           -0.437756E-06,            0.332804E-04,             2.00000    ,            0.286233E-04,           -0.182358E-03,            -1.74851    ,           -0.102764E-02,            0.185011E-02,            0.229737    ,             1.50268    ,             24.3642    ,            0.996201    ,             2.80355    ,
24,     'S12B                ',    0.229775    ,             1.50449    ,             27.4095    ,            0.996114    ,             2.79997    ,            0.100000    ,           -0.410219E-02,            -16.2896    ,            0.164098E-06,           -0.349207E-08,            0.430692E-04,           -0.547634E-05,            0.122777E-06,            0.484711E-03,           -0.118988E-08,           -0.250811E-06,            0.108473E-06,            0.139940E-02,           -0.956105E-06,           -0.518098E-08,            0.106009E-03,            0.174646E-06,            0.712491E-04,             2.00000    ,           -0.185321E-05,           -0.181328E-03,             1.29782    ,           -0.113469E-02,           -0.135270E-02,            0.229814    ,             1.50565    ,             27.4011    ,            0.985190    ,             2.79749    ,
