Created by:,MLEM,
Model Description:, Model Peroral con Output,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         0,                     5,                     2,                     0,
Number, IndividID,                'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'SDinter              ', 'SDslope              ', 'NegLogLikelihood     ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'R(   1)              ', 'KE-mean              ', 'KA1-mean             ', 'V-mean               ', 'F-mean               ', 'KA2-mean             ', 'modeKE               ', 'modeKA1              ', 'modeV                ', 'modeF                ', 'modeKA2              ',
       ,ParameterEstimated?   ,    Y,                       Y,                       Y,                       Y,                       Y,                       N,                       Y,
1,      'S1A                 ',    0.229796    ,             1.50488    ,             26.1663    ,            0.995816    ,             2.80085    ,            0.100000    ,           -0.410219E-02,            -16.7579    ,            0.170813E-06,           -0.509655E-06,            0.198790E-04,           -0.419378E-05,            0.479962E-04,            0.583445    ,            0.110619E-06,           -0.138877E-05,            0.221861E-01,            0.844870E-03,           -0.340139E-08,           -0.448395E-08,           -0.134888E-04,           -0.496168E-06,            0.205968E-03,             1.00000    ,            0.198892E-04,            0.212045E-03,            0.545935E-01,           -0.143244E-02,           -0.472216E-03,            0.229970    ,             1.50424    ,             26.2905    ,             1.00083    ,             2.80000    ,
2,      'S2A                 ',    0.229795    ,             1.50505    ,             25.6986    ,             1.00738    ,             2.80085    ,            0.100000    ,           -0.410219E-02,            -16.5802    ,            0.169238E-06,           -0.532234E-06,            0.182181E-04,           -0.442091E-05,            0.448569E-04,            0.562799    ,            0.988767E-07,           -0.129938E-05,            0.220454E-01,            0.864654E-03,           -0.302697E-08,            0.345534E-07,            0.817668E-05,            0.306173E-06,            0.207015E-03,             1.00000    ,            0.185296E-04,            0.384559E-03,           -0.413026    ,            0.101307E-01,           -0.472265E-03,            0.229824    ,             1.50506    ,             25.6012    ,             1.00343    ,             2.80150    ,
3,      'S3A                 ',    0.229786    ,             1.50454    ,             26.6427    ,            0.983548    ,             2.80087    ,            0.100000    ,           -0.410219E-02,            -16.4740    ,            0.172226E-06,           -0.477912E-06,            0.215008E-04,           -0.422839E-05,            0.539683E-04,            0.604758    ,            0.111346E-06,           -0.135454E-05,            0.223038E-01,            0.823910E-03,            0.154244E-07,            0.275259E-07,           -0.676948E-05,           -0.231515E-06,            0.206332E-03,             1.00000    ,            0.962815E-05,           -0.131494E-03,            0.531077    ,           -0.137002E-01,           -0.448865E-03,            0.229769    ,             1.50610    ,             26.8070    ,            0.989507    ,             2.80002    ,
4,      'S4A                 ',    0.229795    ,             1.50445    ,             26.9583    ,            0.974783    ,             2.80084    ,            0.100000    ,           -0.410219E-02,            -16.1793    ,            0.174062E-06,           -0.466194E-06,            0.226549E-04,           -0.377664E-05,            0.570884E-04,            0.618582    ,            0.130995E-06,           -0.136667E-05,            0.223452E-01,            0.808594E-03,           -0.108769E-07,            0.667364E-08,            0.116068E-04,            0.371975E-06,            0.206709E-03,             1.00000    ,            0.183402E-04,           -0.215753E-03,            0.846649    ,           -0.224660E-01,           -0.479436E-03,            0.229781    ,             1.50496    ,             26.9846    ,            0.975486    ,             2.80079    ,
5,      'S5A                 ',    0.229792    ,             1.50468    ,             25.3879    ,             1.01464    ,             2.80088    ,            0.100000    ,           -0.410219E-02,            -16.4700    ,            0.167741E-06,           -0.544760E-06,            0.169605E-04,           -0.454258E-05,            0.465890E-04,            0.548845    ,            0.905970E-07,           -0.106448E-05,            0.219175E-01,            0.876292E-03,            0.178699E-08,           -0.415375E-07,            0.270142E-04,            0.110711E-05,            0.206829E-03,             1.00000    ,            0.159197E-04,            0.579066E-05,           -0.723788    ,            0.173887E-01,           -0.443349E-03,            0.229817    ,             1.50580    ,             25.2140    ,             1.00761    ,             2.80087    ,
6,      'S6A                 ',    0.229815    ,             1.50563    ,             24.9332    ,             1.02472    ,             2.80087    ,            0.100000    ,           -0.410219E-02,            -15.8614    ,            0.165387E-06,           -0.562405E-06,            0.152620E-04,           -0.443677E-05,            0.413609E-04,            0.530418    ,            0.889028E-07,           -0.105386E-05,            0.217835E-01,            0.895565E-03,           -0.628928E-08,           -0.119568E-08,           -0.211884E-04,           -0.910841E-06,            0.206168E-03,             1.00000    ,            0.385266E-04,            0.959327E-03,            -1.17844    ,            0.274722E-01,           -0.453919E-03,            0.229792    ,             1.50571    ,             24.7521    ,             1.01730    ,             2.79951    ,
7,      'S7A                 ',    0.229789    ,             1.50426    ,             27.4412    ,            0.960905    ,             2.80086    ,            0.100000    ,           -0.410219E-02,            -15.5136    ,            0.175798E-06,           -0.435314E-06,            0.241949E-04,           -0.340175E-05,            0.643343E-04,            0.643627    ,            0.145970E-06,           -0.129028E-05,            0.225144E-01,            0.789105E-03,            0.756323E-08,           -0.815931E-07,            0.226857E-04,            0.820905E-06,            0.206119E-03,             1.00000    ,            0.127565E-04,           -0.413119E-03,             1.32951    ,           -0.363438E-01,           -0.463713E-03,            0.229710    ,             1.50555    ,             27.4200    ,            0.959948    ,             2.80050    ,
8,      'S8A                 ',    0.229803    ,             1.50476    ,             26.8013    ,            0.979190    ,             2.80085    ,            0.100000    ,           -0.410219E-02,            -16.3021    ,            0.173143E-06,           -0.475306E-06,            0.221187E-04,           -0.470857E-05,            0.483405E-04,            0.611952    ,            0.960505E-07,           -0.161967E-05,            0.223376E-01,            0.816739E-03,           -0.489379E-08,            0.903960E-07,           -0.267362E-04,           -0.997412E-06,            0.207342E-03,             1.00000    ,            0.266369E-04,            0.894593E-04,            0.689681    ,           -0.180582E-01,           -0.466916E-03,            0.229763    ,             1.50401    ,             26.7393    ,            0.977304    ,             2.80186    ,
9,      'S9A                 ',    0.229790    ,             1.50504    ,             25.5443    ,             1.01102    ,             2.80085    ,            0.100000    ,           -0.410219E-02,            -16.7140    ,            0.167780E-06,           -0.534021E-06,            0.175449E-04,           -0.411064E-05,            0.435767E-04,            0.555300    ,            0.107638E-06,           -0.126288E-05,            0.219609E-01,            0.869582E-03,            0.263644E-08,            0.132803E-07,            0.346859E-04,            0.138417E-05,            0.206123E-03,             1.00000    ,            0.133530E-04,            0.372800E-03,           -0.567369    ,            0.137755E-01,           -0.473212E-03,            0.229789    ,             1.50538    ,             25.4606    ,             1.00783    ,             2.80400    ,
