Created by:,MLEM,
Model Description:, Model Peroral con Output,
NormalPopulationOption,
Iteration,    'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'SDslope              ', '-2LogLikelihood      ',
11,            0.242364    ,             1.52701    ,             22.8371    ,            0.865109    ,             2.10148    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.491960E-01,             623.096    ,
12,            0.241641    ,             1.52359    ,             23.0330    ,            0.872356    ,             2.13692    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.459436E-01,             602.419    ,
13,            0.240891    ,             1.52073    ,             23.2355    ,            0.879915    ,             2.17483    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.426089E-01,             580.110    ,
14,            0.240105    ,             1.51825    ,             23.4447    ,            0.887436    ,             2.21471    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.391699E-01,             555.927    ,
15,            0.239291    ,             1.51619    ,             23.6611    ,            0.895218    ,             2.25691    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.356452E-01,             529.557    ,
16,            0.238458    ,             1.51414    ,             23.8847    ,            0.903237    ,             2.30114    ,            0.136213E-03,             0.00000    ,            0.558134E-01,             0.00000    ,             0.00000    ,            0.165347    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.502933E-01,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.769743E-01,            0.320188E-01,             500.738    ,
17,            0.237469    ,             1.50232    ,             24.2285    ,            0.913582    ,             2.36269    ,            0.712690E-04,             0.00000    ,            0.320125E-01,             0.00000    ,             0.00000    ,            0.346233    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.264978E-01,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.605348E-01,            0.253360E-01,             292.848    ,
18,            0.235262    ,             1.49363    ,             24.7319    ,            0.925767    ,             2.44997    ,            0.324785E-04,             0.00000    ,            0.186494E-01,             0.00000    ,             0.00000    ,            0.810288    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.147007E-01,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.494672E-01,            0.160503E-01,             168.044    ,
19,            0.233046    ,             1.48975    ,             25.2450    ,            0.940278    ,             2.55445    ,            0.128098E-04,             0.00000    ,            0.106679E-01,             0.00000    ,             0.00000    ,             1.40361    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.900450E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.420349E-01,            0.780230E-02,            -9.37820    ,
20,            0.231741    ,             1.49016    ,             25.5680    ,            0.954500    ,             2.64500    ,            0.585435E-05,             0.00000    ,            0.591173E-02,             0.00000    ,             0.00000    ,             1.65456    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.622336E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.323192E-01,            0.246790E-02,            -188.964    ,
21,            0.230994    ,             1.49267    ,             25.7442    ,            0.965810    ,             2.70719    ,            0.304480E-05,             0.00000    ,            0.321507E-02,             0.00000    ,             0.00000    ,             1.66557    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.464630E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.213366E-01,           -0.645578E-03,            -345.784    ,
22,            0.230527    ,             1.49561    ,             25.8517    ,            0.974164    ,             2.74570    ,            0.174125E-05,             0.00000    ,            0.173478E-02,             0.00000    ,             0.00000    ,             1.61104    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.363967E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.126860E-01,           -0.238157E-02,            -477.311    ,
23,            0.230216    ,             1.49827    ,             25.9255    ,            0.980298    ,             2.76892    ,            0.108159E-05,             0.00000    ,            0.937001E-03,             0.00000    ,             0.00000    ,             1.55595    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.296075E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.711814E-02,           -0.331769E-02,            -580.995    ,
24,            0.230014    ,             1.50041    ,             25.9788    ,            0.984882    ,             2.78286    ,            0.723187E-06,             0.00000    ,            0.510523E-03,             0.00000    ,             0.00000    ,             1.51586    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.248510E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.387097E-02,           -0.379583E-02,            -655.879    ,
25,            0.229898    ,             1.50201    ,             26.0173    ,            0.988365    ,             2.79116    ,            0.513299E-06,             0.00000    ,            0.283333E-03,             0.00000    ,             0.00000    ,             1.49118    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.214041E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.207548E-02,           -0.400336E-02,            -703.291    ,
26,            0.229843    ,             1.50309    ,             26.0457    ,            0.991055    ,             2.79598    ,            0.382524E-06,             0.00000    ,            0.162468E-03,             0.00000    ,             0.00000    ,             1.47721    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.188239E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.111233E-02,           -0.406885E-02,            -729.380    ,
27,            0.229814    ,             1.50378    ,             26.0676    ,            0.993154    ,             2.79864    ,            0.297899E-06,             0.00000    ,            0.980241E-04,             0.00000    ,             0.00000    ,             1.47007    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.168480E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.607074E-03,           -0.408750E-02,            -745.934    ,
28,            0.229797    ,             1.50421    ,             26.0851    ,            0.994815    ,             2.80007    ,            0.239817E-06,             0.00000    ,            0.629839E-04,             0.00000    ,             0.00000    ,             1.46705    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.152908E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.344178E-03,           -0.409578E-02,            -759.162    ,
29,            0.229785    ,             1.50449    ,             26.0996    ,            0.996153    ,             2.80086    ,            0.197656E-06,             0.00000    ,            0.431734E-04,             0.00000    ,             0.00000    ,             1.46683    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.140362E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.206506E-03,           -0.410219E-02,            -769.940    ,
30,            0.229777    ,             1.50467    ,             26.1117    ,            0.997249    ,             2.80132    ,            0.165812E-06,             0.00000    ,            0.313428E-04,             0.00000    ,             0.00000    ,             1.46846    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.130058E-02,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.132375E-03,           -0.410831E-02,            -778.435    ,
