"Property";"Value"
"Input";"CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C"
"Molar mass";"429.604 g/mol"
"Exact mass";"429.266779371 Da"
"Formula";"C29H35NO2"
"Composition";"C (81.08%), H (8.21%), N (3.26%), O (7.45%)"
"Lipinski's rule of five";"false"
