"pH";"logD"
"0.0";"2.07"
"0.1";"2.07"
"0.2";"2.07"
"0.3";"2.07"
"0.4";"2.07"
"0.5";"2.07"
"0.6";"2.07"
"0.7";"2.07"
"0.8";"2.07"
"0.9";"2.07"
"1.0";"2.07"
"1.1";"2.07"
"1.2";"2.07"
"1.3";"2.07"
"1.4";"2.07"
"1.5";"2.07"
"1.6";"2.07"
"1.7";"2.07"
"1.8";"2.07"
"1.9";"2.41"
"2.0";"2.46"
"2.1";"2.53"
"2.2";"2.59"
"2.3";"2.67"
"2.4";"2.74"
"2.5";"2.82"
"2.6";"2.91"
"2.7";"2.99"
"2.8";"3.08"
"2.9";"3.17"
"3.0";"3.27"
"3.1";"3.36"
"3.2";"3.45"
"3.3";"3.55"
"3.4";"3.64"
"3.5";"3.74"
"3.6";"3.83"
"3.7";"3.92"
"3.8";"4.01"
"3.9";"4.10"
"4.0";"4.19"
"4.1";"4.28"
"4.2";"4.36"
"4.3";"4.45"
"4.4";"4.52"
"4.5";"4.60"
"4.6";"4.66"
"4.7";"4.73"
"4.8";"4.79"
"4.9";"4.84"
"5.0";"4.88"
"5.1";"4.93"
"5.2";"4.96"
"5.3";"4.99"
"5.4";"5.02"
"5.5";"5.04"
"5.6";"5.06"
"5.7";"5.07"
"5.8";"5.08"
"5.9";"5.09"
"6.0";"5.10"
"6.1";"5.11"
"6.2";"5.11"
"6.3";"5.12"
"6.4";"5.12"
"6.5";"5.12"
"6.6";"5.12"
"6.7";"5.13"
"6.8";"5.13"
"6.9";"5.13"
"7.0";"5.13"
"7.1";"5.13"
"7.2";"5.13"
"7.3";"5.13"
"7.4";"5.13"
"7.5";"5.13"
"7.6";"5.13"
"7.7";"5.13"
"7.8";"5.13"
"7.9";"5.13"
"8.0";"5.13"
"8.1";"5.13"
"8.2";"5.13"
"8.3";"5.13"
"8.4";"5.13"
"8.5";"5.13"
"8.6";"5.13"
"8.7";"5.13"
"8.8";"5.13"
"8.9";"5.13"
"9.0";"5.13"
"9.1";"5.13"
"9.2";"5.13"
"9.3";"5.13"
"9.4";"5.13"
"9.5";"5.13"
"9.6";"5.13"
"9.7";"5.13"
"9.8";"5.13"
"9.9";"5.13"
"10.0";"5.13"
"10.1";"5.13"
"10.2";"5.13"
"10.3";"5.13"
"10.4";"5.13"
"10.5";"5.13"
"10.6";"5.13"
"10.7";"5.13"
"10.8";"5.13"
"10.9";"5.13"
"11.0";"5.13"
"11.1";"5.13"
"11.2";"5.12"
"11.3";"5.12"
"11.4";"5.12"
"11.5";"5.12"
"11.6";"5.11"
"11.7";"5.10"
"11.8";"5.10"
"11.9";"5.09"
"12.0";"5.08"
"12.1";"5.06"
"12.2";"5.05"
"12.3";"5.03"
"12.4";"5.01"
"12.5";"4.98"
"12.6";"4.95"
"12.7";"4.91"
"12.8";"4.86"
"12.9";"4.82"
"13.0";"4.76"
"13.1";"4.70"
"13.2";"4.63"
"13.3";"4.56"
"13.4";"4.49"
"13.5";"4.41"
"13.6";"4.33"
"13.7";"4.24"
"13.8";"4.15"
"13.9";"4.07"
"14.0";"3.97"
