"pH";"Charge"
"0.0";"1.00"
"0.1";"1.00"
"0.2";"1.00"
"0.3";"1.00"
"0.4";"1.00"
"0.5";"1.00"
"0.6";"1.00"
"0.7";"1.00"
"0.8";"1.00"
"0.9";"1.00"
"1.0";"1.00"
"1.1";"1.00"
"1.2";"1.00"
"1.3";"1.00"
"1.4";"1.00"
"1.5";"1.00"
"1.6";"1.00"
"1.7";"1.00"
"1.8";"1.00"
"1.9";"1.00"
"2.0";"1.00"
"2.1";"1.00"
"2.2";"1.00"
"2.3";"1.00"
"2.4";"1.00"
"2.5";"1.00"
"2.6";"0.99"
"2.7";"0.99"
"2.8";"0.99"
"2.9";"0.99"
"3.0";"0.99"
"3.1";"0.98"
"3.2";"0.98"
"3.3";"0.97"
"3.4";"0.97"
"3.5";"0.96"
"3.6";"0.95"
"3.7";"0.94"
"3.8";"0.92"
"3.9";"0.91"
"4.0";"0.89"
"4.1";"0.86"
"4.2";"0.83"
"4.3";"0.80"
"4.4";"0.76"
"4.5";"0.71"
"4.6";"0.66"
"4.7";"0.61"
"4.8";"0.55"
"4.9";"0.49"
"5.0";"0.44"
"5.1";"0.38"
"5.2";"0.33"
"5.3";"0.28"
"5.4";"0.24"
"5.5";"0.20"
"5.6";"0.16"
"5.7";"0.13"
"5.8";"0.11"
"5.9";"0.09"
"6.0";"0.07"
"6.1";"0.06"
"6.2";"0.05"
"6.3";"0.04"
"6.4";"0.03"
"6.5";"0.02"
"6.6";"0.02"
"6.7";"0.02"
"6.8";"0.01"
"6.9";"0.01"
"7.0";"0.01"
"7.1";"0.01"
"7.2";"0.00"
"7.3";"0.00"
"7.4";"0.00"
"7.5";"0.00"
"7.6";"0.00"
"7.7";"0.00"
"7.8";"0.00"
"7.9";"0.00"
"8.0";"0.00"
"8.1";"0.00"
"8.2";"0.00"
"8.3";"0.00"
"8.4";"0.00"
"8.5";"0.00"
"8.6";"0.00"
"8.7";"0.00"
"8.8";"0.00"
"8.9";"0.00"
"9.0";"-0.00"
"9.1";"-0.00"
"9.2";"-0.00"
"9.3";"-0.00"
"9.4";"-0.00"
"9.5";"-0.00"
"9.6";"-0.00"
"9.7";"-0.00"
"9.8";"-0.00"
"9.9";"-0.00"
"10.0";"-0.00"
"10.1";"-0.00"
"10.2";"-0.00"
"10.3";"-0.00"
"10.4";"-0.00"
"10.5";"-0.00"
"10.6";"-0.01"
"10.7";"-0.01"
"10.8";"-0.01"
"10.9";"-0.01"
"11.0";"-0.01"
"11.1";"-0.02"
"11.2";"-0.02"
"11.3";"-0.03"
"11.4";"-0.03"
"11.5";"-0.04"
"11.6";"-0.05"
"11.7";"-0.06"
"11.8";"-0.08"
"11.9";"-0.10"
"12.0";"-0.12"
"12.1";"-0.15"
"12.2";"-0.18"
"12.3";"-0.21"
"12.4";"-0.26"
"12.5";"-0.30"
"12.6";"-0.35"
"12.7";"-0.41"
"12.8";"-0.46"
"12.9";"-0.52"
"13.0";"-0.58"
"13.1";"-0.63"
"13.2";"-0.68"
"13.3";"-0.73"
"13.4";"-0.77"
"13.5";"-0.81"
"13.6";"-0.84"
"13.7";"-0.87"
"13.8";"-0.90"
"13.9";"-0.92"
"14.0";"-0.93"
