"Property";"Value"
"Atom count";"67"
"Heavy atom count";"32"
"Asymmetric atom count";"5"
"Rotatable bond count";"3"
"Ring count";"5"
"Aromatic ring count";"1"
"Hetero ring count";"0"
"FSP3";"0.55"
"Hydrogen bond donor count";"1"
"Hydrogen bond acceptor count";"3"
"Formal charge";"0"
"Topological polar surface area";"40.54 A2"
"Polarizability";"50.04 A3"
"Molar refractivity";"132.58 cm3/mol"
