Created by:,MLEM,
Model Description:, Model Peroral con Output,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         0,                     5,                     2,                     0,
Number, IndividID,                'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'SDinter              ', 'SDslope              ', 'NegLogLikelihood     ', 'KA1/KA1              ', 'F/KA1                ', 'F/F                  ', 'KA2/KA1              ', 'KA2/F                ', 'KA2/KA2              ', 'R(   1)              ', 'KA1-mean             ', 'F-mean               ', 'KA2-mean             ', 'modeKA1              ', 'modeF                ', 'modeKA2              ',
       ,ParameterEstimated?   ,    N,                       Y,                       N,                       Y,                       Y,                       N,                       Y,
1,      'S1A                 ',    0.230000    ,             1.54053    ,             21.0000    ,            0.789702    ,             2.41312    ,            0.100000    ,            0.134656    ,             11.1619    ,            0.893402E-02,           -0.110885E-03,            0.535171E-03,           -0.358814E-05,            0.147820E-05,            0.514172E-01,             1.00000    ,           -0.251226E-02,           -0.268347E-02,           -0.144622E-02,             1.53622    ,            0.787400    ,             2.41679    ,
2,      'S2A                 ',    0.230000    ,             1.54345    ,             21.0000    ,            0.799138    ,             2.41344    ,            0.100000    ,            0.134656    ,             11.4709    ,            0.884106E-02,           -0.111687E-03,            0.526908E-03,           -0.260273E-04,           -0.394278E-05,            0.514512E-01,             1.00000    ,            0.409335E-03,            0.675293E-02,           -0.112590E-02,             1.54526    ,            0.796004    ,             2.40442    ,
3,      'S3A                 ',    0.230000    ,             1.53747    ,             21.0000    ,            0.780216    ,             2.41343    ,            0.100000    ,            0.134656    ,             11.1001    ,            0.902209E-02,           -0.108831E-03,            0.545159E-03,            0.162951E-04,            0.297817E-05,            0.513782E-01,             1.00000    ,           -0.557897E-02,           -0.121689E-01,           -0.113943E-02,             1.53839    ,            0.780789    ,             2.42215    ,
4,      'S4A                 ',    0.230000    ,             1.53573    ,             21.0000    ,            0.773680    ,             2.41286    ,            0.100000    ,            0.134656    ,             11.2009    ,            0.909620E-02,           -0.110284E-03,            0.550609E-03,            0.133448E-04,            0.313983E-05,            0.513243E-01,             1.00000    ,           -0.731809E-02,           -0.187058E-01,           -0.171113E-02,             1.53635    ,            0.771357    ,             2.43307    ,
5,      'S5A                 ',    0.230000    ,             1.54526    ,             21.0000    ,            0.805514    ,             2.41364    ,            0.100000    ,            0.134656    ,             11.8131    ,            0.877600E-02,           -0.110578E-03,            0.521289E-03,           -0.546117E-05,           -0.415457E-05,            0.513894E-01,             1.00000    ,            0.221234E-02,            0.131291E-01,           -0.931139E-03,             1.53754    ,            0.805879    ,             2.40002    ,
6,      'S6A                 ',    0.230000    ,             1.54819    ,             21.0000    ,            0.814773    ,             2.41315    ,            0.100000    ,            0.134656    ,             12.5047    ,            0.865922E-02,           -0.110365E-03,            0.514096E-03,           -0.159531E-04,            0.286622E-05,            0.514290E-01,             1.00000    ,            0.514337E-02,            0.223877E-01,           -0.141480E-02,             1.55476    ,            0.814023    ,             2.41277    ,
7,      'S7A                 ',    0.230000    ,             1.53266    ,             21.0000    ,            0.764135    ,             2.41314    ,            0.100000    ,            0.134656    ,             11.5711    ,            0.920415E-02,           -0.104128E-03,            0.562050E-03,            0.202048E-04,            0.233549E-06,            0.514922E-01,             1.00000    ,           -0.103869E-01,           -0.282505E-01,           -0.143328E-02,             1.53093    ,            0.761357    ,             2.41283    ,
8,      'S8A                 ',    0.230000    ,             1.53673    ,             21.0000    ,            0.776890    ,             2.41323    ,            0.100000    ,            0.134656    ,             11.1366    ,            0.906548E-02,           -0.112232E-03,            0.549118E-03,           -0.566284E-05,           -0.896146E-06,            0.513651E-01,             1.00000    ,           -0.631435E-02,           -0.154953E-01,           -0.133696E-02,             1.53047    ,            0.776774    ,             2.41903    ,
9,      'S9A                 ',    0.230000    ,             1.54431    ,             21.0000    ,            0.802367    ,             2.41346    ,            0.100000    ,            0.134656    ,             11.6299    ,            0.881468E-02,           -0.108995E-03,            0.524054E-03,            0.467821E-05,           -0.338891E-05,            0.513563E-01,             1.00000    ,            0.126596E-02,            0.998165E-02,           -0.110378E-02,             1.53460    ,            0.800454    ,             2.39626    ,
10,     'S10A                ',    0.230000    ,             1.54411    ,             21.0000    ,            0.798314    ,             2.41323    ,            0.100000    ,            0.134656    ,             11.4325    ,            0.883326E-02,           -0.111970E-03,            0.526520E-03,           -0.147292E-04,            0.277633E-05,            0.513780E-01,             1.00000    ,            0.106109E-02,            0.592913E-02,           -0.133560E-02,             1.53321    ,            0.798160    ,             2.41044    ,
11,     'S11A                ',    0.230000    ,             1.54581    ,             21.0000    ,            0.804663    ,             2.41296    ,            0.100000    ,            0.134656    ,             11.7606    ,            0.876667E-02,           -0.112416E-03,            0.522239E-03,            0.248353E-05,            0.163576E-05,            0.514160E-01,             1.00000    ,            0.276557E-02,            0.122777E-01,           -0.160726E-02,             1.54795    ,            0.801803    ,             2.42465    ,
12,     'S12A                ',    0.230000    ,             1.54431    ,             21.0000    ,            0.798222    ,             2.41327    ,            0.100000    ,            0.134656    ,             11.4291    ,            0.884742E-02,           -0.112480E-03,            0.527125E-03,            0.737479E-05,            0.806122E-06,            0.514917E-01,             1.00000    ,            0.126780E-02,            0.583692E-02,           -0.129979E-02,             1.54211    ,            0.797535    ,             2.39497    ,
13,     'S1B                 ',    0.230000    ,             1.54458    ,             21.0000    ,            0.792483    ,             2.41439    ,            0.100000    ,            0.134656    ,             22.4583    ,            0.103873E-01,            0.271668E-05,            0.893014E-03,            0.331682E-04,            0.443333E-05,            0.482674E-01,             2.00000    ,            0.153612E-02,            0.981422E-04,           -0.182749E-03,             1.54982    ,            0.791378    ,             2.40160    ,
14,     'S2B                 ',    0.230000    ,             1.54449    ,             21.0000    ,            0.792486    ,             2.42232    ,            0.100000    ,            0.134656    ,             19.7474    ,            0.103957E-01,           -0.158789E-05,            0.891910E-03,           -0.247366E-04,           -0.704023E-05,            0.473497E-01,             2.00000    ,            0.144268E-02,            0.100285E-03,            0.775305E-02,             1.54955    ,            0.792812    ,             2.38868    ,
15,     'S3B                 ',    0.230000    ,             1.54459    ,             21.0000    ,            0.792461    ,             2.40643    ,            0.100000    ,            0.134656    ,             25.6462    ,            0.103976E-01,            0.212825E-06,            0.894725E-03,           -0.378667E-04,           -0.683064E-05,            0.492746E-01,             2.00000    ,            0.154341E-02,            0.754047E-04,           -0.813978E-02,             1.55311    ,            0.793832    ,             2.40811    ,
16,     'S4B                 ',    0.230000    ,             1.54453    ,             21.0000    ,            0.792460    ,             2.39902    ,            0.100000    ,            0.134656    ,             29.3624    ,            0.104048E-01,            0.153160E-06,            0.892294E-03,            0.473569E-04,            0.340486E-05,            0.502031E-01,             2.00000    ,            0.148946E-02,            0.747947E-04,           -0.155475E-01,             1.54066    ,            0.792329    ,             2.40616    ,
17,     'S5B                 ',    0.230000    ,             1.54456    ,             21.0000    ,            0.792467    ,             2.43032    ,            0.100000    ,            0.134656    ,             17.5055    ,            0.103864E-01,           -0.740299E-06,            0.891027E-03,           -0.220314E-04,           -0.390024E-05,            0.462909E-01,             2.00000    ,            0.151165E-02,            0.816174E-04,            0.157501E-01,             1.54489    ,            0.791264    ,             2.44835    ,
18,     'S6B                 ',    0.230000    ,             1.54454    ,             21.0000    ,            0.792463    ,             2.42434    ,            0.100000    ,            0.134656    ,             19.1151    ,            0.103887E-01,            0.320057E-06,            0.893498E-03,            0.217228E-05,           -0.116219E-06,            0.471084E-01,             2.00000    ,            0.149453E-02,            0.778960E-04,            0.977138E-02,             1.54168    ,            0.792471    ,             2.41434    ,
19,     'S7B                 ',    0.230000    ,             1.54451    ,             21.0000    ,            0.792481    ,             2.40502    ,            0.100000    ,            0.134656    ,             26.5466    ,            0.103829E-01,            0.375416E-06,            0.892318E-03,            0.276089E-04,           -0.176926E-05,            0.494439E-01,             2.00000    ,            0.146041E-02,            0.958131E-04,           -0.954425E-02,             1.55386    ,            0.792563    ,             2.38052    ,
20,     'S8B                 ',    0.230000    ,             1.54457    ,             21.0000    ,            0.792477    ,             2.41966    ,            0.100000    ,            0.134656    ,             20.3714    ,            0.104064E-01,            0.308511E-05,            0.893124E-03,           -0.236945E-04,           -0.122212E-05,            0.474599E-01,             2.00000    ,            0.152860E-02,            0.917077E-04,            0.509114E-02,             1.54875    ,            0.791559    ,             2.43062    ,
