Created by:,MLEM,
Model Description:, Model Peroral con Output,
NormalPopulationOption,
Iteration,    'KA1                  ', 'F                    ', 'KA2                  ', 'KA1/KA1              ', 'F/KA1                ', 'F/F                  ', 'KA2/KA1              ', 'KA2/F                ', 'KA2/KA2              ', 'SDslope              ', '-2LogLikelihood      ',
0,              2.00000    ,            0.800000    ,             2.00000    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.100000    ,
1,              1.83084    ,            0.797816    ,             2.04416    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.144000    ,
2,              1.77155    ,            0.797803    ,             2.08254    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.139875    ,             871.516    ,
3,              1.72134    ,            0.797964    ,             2.11839    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.138734    ,             868.909    ,
4,              1.68349    ,            0.798393    ,             2.15045    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.138295    ,             867.208    ,
5,              1.65545    ,            0.798827    ,             2.17891    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.138023    ,             866.131    ,
6,              1.63459    ,            0.799177    ,             2.20449    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.137820    ,             865.441    ,
7,              1.61933    ,            0.799485    ,             2.22746    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.137686    ,             864.969    ,
8,              1.60817    ,            0.799731    ,             2.24833    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.137601    ,             864.629    ,
9,              1.60027    ,            0.799904    ,             2.26720    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.137527    ,             864.376    ,
10,             1.59510    ,            0.800065    ,             2.28442    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.137505    ,             864.156    ,
11,             1.59104    ,            0.800126    ,             2.30020    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.137448    ,             864.033    ,
12,             1.58803    ,            0.800207    ,             2.31456    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.137427    ,             863.913    ,
13,             1.58601    ,            0.800273    ,             2.32797    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.137404    ,             863.807    ,
14,             1.58462    ,            0.800294    ,             2.34012    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.137385    ,             863.726    ,
15,             1.58347    ,            0.800345    ,             2.35143    ,            0.100000    ,             0.00000    ,            0.100000    ,             0.00000    ,             0.00000    ,            0.100000    ,            0.137366    ,             863.663    ,
16,             1.58259    ,            0.800343    ,             2.36191    ,            0.711800E-01,             0.00000    ,            0.493121E-01,             0.00000    ,             0.00000    ,            0.930399E-01,            0.137358    ,             863.604    ,
17,             1.57930    ,            0.797786    ,             2.37057    ,            0.535002E-01,             0.00000    ,            0.259426E-01,             0.00000    ,             0.00000    ,            0.871841E-01,            0.136995    ,             852.967    ,
18,             1.57522    ,            0.796274    ,             2.37780    ,            0.419601E-01,             0.00000    ,            0.142479E-01,             0.00000    ,             0.00000    ,            0.820751E-01,            0.136607    ,             844.101    ,
19,             1.57105    ,            0.795376    ,             2.38390    ,            0.340503E-01,             0.00000    ,            0.831903E-02,             0.00000    ,             0.00000    ,            0.776205E-01,            0.136254    ,             836.530    ,
20,             1.56711    ,            0.794742    ,             2.38907    ,            0.283816E-01,             0.00000    ,            0.524535E-02,             0.00000    ,             0.00000    ,            0.736641E-01,            0.135900    ,             830.437    ,
21,             1.56349    ,            0.794257    ,             2.39351    ,            0.241800E-01,             0.00000    ,            0.358900E-02,             0.00000    ,             0.00000    ,            0.701483E-01,            0.135588    ,             825.839    ,
22,             1.56020    ,            0.793851    ,             2.39734    ,            0.209549E-01,             0.00000    ,            0.264062E-02,             0.00000    ,             0.00000    ,            0.669967E-01,            0.135320    ,             822.560    ,
23,             1.55724    ,            0.793514    ,             2.40062    ,            0.184272E-01,             0.00000    ,            0.206079E-02,             0.00000    ,             0.00000    ,            0.641253E-01,            0.135120    ,             820.259    ,
24,             1.55456    ,            0.793243    ,             2.40351    ,            0.163987E-01,             0.00000    ,            0.168284E-02,             0.00000    ,             0.00000    ,            0.615285E-01,            0.134972    ,             818.629    ,
