"Property";"Value"
"Atom count";"51"
"Heavy atom count";"32"
"Asymmetric atom count";"1"
"Rotatable bond count";"9"
"Ring count";"3"
"Aromatic ring count";"3"
"Hetero ring count";"2"
"FSP3";"0.21"
"Hydrogen bond donor count";"6"
"Hydrogen bond acceptor count";"12"
"Formal charge";"0"
"Topological polar surface area";"208.99 A2"
"Polarizability";"40.46 A3"
"Molar refractivity";"111.01 cm3/mol"
