"pH";"Charge"
"0.0";"1.92"
"0.1";"1.89"
"0.2";"1.86"
"0.3";"1.83"
"0.4";"1.79"
"0.5";"1.75"
"0.6";"1.70"
"0.7";"1.64"
"0.8";"1.58"
"0.9";"1.51"
"1.0";"1.44"
"1.1";"1.36"
"1.2";"1.28"
"1.3";"1.20"
"1.4";"1.12"
"1.5";"1.03"
"1.6";"0.95"
"1.7";"0.86"
"1.8";"0.77"
"1.9";"0.68"
"2.0";"0.59"
"2.1";"0.50"
"2.2";"0.41"
"2.3";"0.32"
"2.4";"0.24"
"2.5";"0.15"
"2.6";"0.06"
"2.7";"-0.02"
"2.8";"-0.11"
"2.9";"-0.20"
"3.0";"-0.29"
"3.1";"-0.39"
"3.2";"-0.49"
"3.3";"-0.59"
"3.4";"-0.69"
"3.5";"-0.80"
"3.6";"-0.91"
"3.7";"-1.01"
"3.8";"-1.11"
"3.9";"-1.21"
"4.0";"-1.31"
"4.1";"-1.40"
"4.2";"-1.48"
"4.3";"-1.56"
"4.4";"-1.63"
"4.5";"-1.69"
"4.6";"-1.74"
"4.7";"-1.79"
"4.8";"-1.83"
"4.9";"-1.86"
"5.0";"-1.89"
"5.1";"-1.91"
"5.2";"-1.93"
"5.3";"-1.94"
"5.4";"-1.95"
"5.5";"-1.96"
"5.6";"-1.97"
"5.7";"-1.98"
"5.8";"-1.98"
"5.9";"-1.98"
"6.0";"-1.99"
"6.1";"-1.99"
"6.2";"-1.99"
"6.3";"-1.99"
"6.4";"-2.00"
"6.5";"-2.00"
"6.6";"-2.00"
"6.7";"-2.00"
"6.8";"-2.00"
"6.9";"-2.00"
"7.0";"-2.00"
"7.1";"-2.00"
"7.2";"-2.00"
"7.3";"-2.00"
"7.4";"-2.00"
"7.5";"-2.00"
"7.6";"-2.00"
"7.7";"-2.00"
"7.8";"-2.00"
"7.9";"-2.00"
"8.0";"-2.00"
"8.1";"-2.00"
"8.2";"-2.00"
"8.3";"-2.00"
"8.4";"-2.00"
"8.5";"-2.00"
"8.6";"-2.00"
"8.7";"-2.00"
"8.8";"-2.00"
"8.9";"-2.00"
"9.0";"-2.00"
"9.1";"-2.00"
"9.2";"-2.00"
"9.3";"-2.00"
"9.4";"-2.01"
"9.5";"-2.01"
"9.6";"-2.01"
"9.7";"-2.01"
"9.8";"-2.02"
"9.9";"-2.02"
"10.0";"-2.02"
"10.1";"-2.03"
"10.2";"-2.04"
"10.3";"-2.05"
"10.4";"-2.06"
"10.5";"-2.07"
"10.6";"-2.09"
"10.7";"-2.11"
"10.8";"-2.13"
"10.9";"-2.16"
"11.0";"-2.20"
"11.1";"-2.24"
"11.2";"-2.28"
"11.3";"-2.33"
"11.4";"-2.38"
"11.5";"-2.44"
"11.6";"-2.49"
"11.7";"-2.55"
"11.8";"-2.61"
"11.9";"-2.66"
"12.0";"-2.71"
"12.1";"-2.76"
"12.2";"-2.80"
"12.3";"-2.83"
"12.4";"-2.86"
"12.5";"-2.89"
"12.6";"-2.91"
"12.7";"-2.93"
"12.8";"-2.94"
"12.9";"-2.95"
"13.0";"-2.96"
"13.1";"-2.97"
"13.2";"-2.98"
"13.3";"-2.98"
"13.4";"-2.99"
"13.5";"-2.99"
"13.6";"-3.00"
"13.7";"-3.00"
"13.8";"-3.00"
"13.9";"-3.01"
"14.0";"-3.01"
