"Property";"Value"
"Input";"folic acid"
"Molar mass";"441.404 g/mol"
"Exact mass";"441.13968136 Da"
"Formula";"C19H19N7O6"
"Composition";"C (51.7%), H (4.34%), N (22.21%), O (21.75%)"
"Lipinski's rule of five";"false"
