Created by:,MLEM,
Model Description:, Model Peroral con Output,
LognormalPopulationOption,
Iteration,    'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'SDslope              ', '-2LogLikelihood      ',
0,             0.230000    ,             2.00000    ,             21.0000    ,            0.800000    ,             2.00000    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.100000    ,
1,             0.242996    ,             1.88455    ,             21.1151    ,            0.784048    ,             1.94430    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.722500E-01,
2,             0.243841    ,             1.77396    ,             21.2967    ,            0.784950    ,             1.91755    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.746596E-01,             773.674    ,
3,             0.244056    ,             1.69974    ,             21.4624    ,            0.791000    ,             1.90846    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.724129E-01,             752.621    ,
4,             0.244182    ,             1.64599    ,             21.6301    ,            0.799540    ,             1.91133    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.693899E-01,             736.006    ,
5,             0.244114    ,             1.60668    ,             21.8036    ,            0.808760    ,             1.92341    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.662458E-01,             719.952    ,
6,             0.243873    ,             1.57815    ,             21.9841    ,            0.818157    ,             1.94329    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.630761E-01,             703.605    ,
7,             0.243479    ,             1.55750    ,             22.1726    ,            0.827258    ,             1.96877    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.598121E-01,             686.529    ,
8,             0.242968    ,             1.54261    ,             22.3698    ,            0.836348    ,             1.99938    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.564467E-01,             668.218    ,
9,             0.242362    ,             1.53188    ,             22.5769    ,            0.845273    ,             2.03437    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.529294E-01,             648.375    ,
