Created by:,MLEM,
Model Description:, Model Peroral con Output,
LognormalPopulationOption,
Iteration,    'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'SDslope              ', '-2LogLikelihood      ',
10,            0.241668    ,             1.52418    ,             22.7949    ,            0.854151    ,             2.07350    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.492550E-01,             626.577    ,
11,            0.240896    ,             1.51857    ,             23.0250    ,            0.863132    ,             2.11641    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.453764E-01,             602.462    ,
12,            0.240052    ,             1.51449    ,             23.2685    ,            0.872342    ,             2.16334    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.412933E-01,             575.483    ,
13,            0.239135    ,             1.51142    ,             23.5270    ,            0.881916    ,             2.21449    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.369814E-01,             545.019    ,
14,            0.238141    ,             1.50902    ,             23.8016    ,            0.891822    ,             2.27016    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.324329E-01,             510.251    ,
15,            0.237070    ,             1.50717    ,             24.0928    ,            0.902212    ,             2.33054    ,             1.89036    ,             0.00000    ,            0.250000E-01,             0.00000    ,             0.00000    ,            0.226757E-03,             0.00000    ,             0.00000    ,             0.00000    ,            0.156250    ,             0.00000    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.250000E-01,            0.276549E-01,             470.133    ,
16,            0.235926    ,             1.50563    ,             24.3998    ,            0.913111    ,             2.39552    ,            0.157837E-02,           -0.514529E-03,            0.141704E-01,            0.496477E-03,            0.140140E-04,            0.484884E-03,           -0.955278E-05,           -0.523100E-03,           -0.423944E-04,            0.797771E-01,           -0.494815E-03,            0.245695E-04,           -0.439190E-04,           -0.334331E-03,            0.173416E-01,            0.226774E-01,             423.415    ,
17,            0.235209    ,             1.50563    ,             24.7127    ,            0.921887    ,             2.47949    ,            0.793683E-03,           -0.172212E-03,            0.819504E-02,            0.621155E-03,            0.219648E-03,            0.980970E-03,           -0.378520E-05,           -0.793876E-03,           -0.777394E-04,            0.416201E-01,           -0.254965E-03,            0.390678E-03,            0.650380E-04,           -0.427938E-03,            0.118616E-01,            0.152491E-01,             158.936    ,
18,            0.233962    ,             1.51366    ,             24.9799    ,            0.928554    ,             2.56278    ,            0.410519E-03,            0.259339E-04,            0.500536E-02,            0.588322E-03,            0.586054E-03,            0.159386E-02,            0.420198E-04,           -0.890713E-03,           -0.209550E-04,            0.225546E-01,           -0.732855E-04,            0.497728E-03,            0.328719E-03,           -0.370352E-03,            0.798418E-02,            0.848145E-02,             16.6124    ,
19,            0.232717    ,             1.52168    ,             25.1765    ,            0.934642    ,             2.63332    ,            0.199347E-03,            0.764409E-04,            0.329287E-02,            0.446539E-03,            0.912448E-03,            0.210075E-02,            0.769367E-04,           -0.834743E-03,            0.150098E-03,            0.130051E-01,           -0.589264E-05,            0.520400E-03,            0.558753E-03,           -0.236250E-03,            0.525508E-02,            0.344998E-02,            -135.650    ,
20,            0.231746    ,             1.52602    ,             25.3157    ,            0.940878    ,             2.68606    ,            0.964785E-04,            0.561701E-04,            0.228084E-02,            0.295533E-03,            0.105296E-02,            0.240192E-02,            0.849375E-04,           -0.677828E-03,            0.388877E-03,            0.817699E-02,           -0.215560E-05,            0.449023E-03,            0.612704E-03,           -0.959811E-04,            0.332019E-02,            0.151710E-03,            -284.695    ,
21,            0.231060    ,             1.52683    ,             25.4188    ,            0.947297    ,             2.72324    ,            0.497284E-04,            0.267623E-04,            0.160348E-02,            0.183340E-03,            0.102328E-02,            0.253137E-02,            0.747893E-04,           -0.490219E-03,            0.628817E-03,            0.569839E-02,           -0.998416E-05,            0.327435E-03,            0.533192E-03,            0.389939E-06,            0.201498E-02,           -0.184213E-02,            -418.131    ,
22,            0.230588    ,             1.52548    ,             25.5041    ,            0.953712    ,             2.74912    ,            0.282349E-04,            0.705761E-05,            0.112101E-02,            0.111899E-03,            0.900324E-03,            0.255597E-02,            0.601636E-04,           -0.319735E-03,            0.838665E-03,            0.440747E-02,           -0.140742E-04,            0.213045E-03,            0.403749E-03,            0.413449E-04,            0.117911E-02,           -0.298714E-02,            -528.199    ,
23,            0.230271    ,             1.52307    ,             25.5815    ,            0.959974    ,             2.76711    ,            0.177726E-04,           -0.291294E-05,            0.771435E-03,            0.696877E-04,            0.742229E-03,            0.252412E-02,            0.474609E-04,           -0.187559E-03,            0.101201E-02,            0.373901E-02,           -0.140766E-04,            0.128197E-03,            0.277646E-03,            0.467395E-04,            0.671828E-03,           -0.361474E-02,            -611.851    ,
24,            0.230072    ,             1.52015    ,             25.6535    ,            0.965999    ,             2.77939    ,            0.122096E-04,           -0.653684E-05,            0.519496E-03,            0.458158E-04,            0.584446E-03,            0.247047E-02,            0.381404E-04,           -0.941346E-04,            0.115420E-02,            0.340285E-02,           -0.118715E-04,            0.725855E-04,            0.175839E-03,            0.345914E-04,            0.375946E-03,           -0.392508E-02,            -669.038    ,
25,            0.229961    ,             1.51703    ,             25.7191    ,            0.971654    ,             2.78753    ,            0.893501E-05,           -0.696883E-05,            0.341181E-03,            0.320422E-04,            0.444738E-03,            0.242047E-02,            0.313707E-04,           -0.331711E-04,            0.127510E-02,            0.324682E-02,           -0.912269E-05,            0.387520E-04,            0.101428E-03,            0.183889E-04,            0.208494E-03,           -0.404290E-02,            -702.501    ,
26,            0.229902    ,             1.51413    ,             25.7784    ,            0.976784    ,             2.79280    ,            0.689363E-05,           -0.624918E-05,            0.218629E-03,            0.237202E-04,            0.329054E-03,            0.238600E-02,            0.263305E-04,            0.233674E-05,            0.138040E-02,            0.318816E-02,           -0.682011E-05,            0.197264E-04,            0.506494E-04,            0.357990E-05,            0.115800E-03,           -0.407572E-02,            -721.678    ,
27,            0.229866    ,             1.51174    ,             25.8333    ,            0.981318    ,             2.79613    ,            0.556989E-05,           -0.529411E-05,            0.137530E-03,            0.186121E-04,            0.237384E-03,            0.237010E-02,            0.227687E-04,            0.189119E-04,            0.147428E-02,            0.318492E-02,           -0.518958E-05,            0.994727E-05,            0.180407E-04,           -0.770933E-05,            0.655182E-04,           -0.408559E-02,            -736.678    ,
28,            0.229842    ,             1.50991    ,             25.8850    ,            0.985290    ,             2.79819    ,            0.465923E-05,           -0.443367E-05,            0.859620E-04,            0.152785E-04,            0.167889E-03,            0.237169E-02,            0.202002E-04,            0.231046E-04,            0.155604E-02,            0.320668E-02,           -0.408858E-05,            0.530694E-05,           -0.176617E-05,           -0.156051E-04,            0.385448E-04,           -0.409101E-02,            -750.313    ,
29,            0.229824    ,             1.50860    ,             25.9336    ,            0.988746    ,             2.79945    ,            0.399803E-05,           -0.373512E-05,            0.543470E-04,            0.128960E-04,            0.117598E-03,            0.238780E-02,            0.182605E-04,            0.209637E-04,            0.162712E-02,            0.323881E-02,           -0.333781E-05,            0.320095E-05,           -0.133494E-04,           -0.206193E-04,            0.240604E-04,           -0.409644E-02,            -762.577    ,
30,            0.229810    ,             1.50770    ,             25.9782    ,            0.991718    ,             2.80022    ,            0.349735E-05,           -0.319271E-05,            0.354337E-04,            0.109980E-04,            0.827937E-04,            0.241489E-02,            0.166981E-04,            0.168449E-04,            0.169046E-02,            0.327574E-02,           -0.280972E-05,            0.223438E-05,           -0.200613E-04,           -0.237057E-04,            0.161028E-04,           -0.410275E-02,            -773.100    ,
