Created by:,MLEM,
Model Description:, Model Peroral con Output,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         0,                     5,                     2,                     0,
Number, IndividID,                'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'SDinter              ', 'SDslope              ', 'NegLogLikelihood     ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'R(   1)              ', 'KE-mean              ', 'KA1-mean             ', 'V-mean               ', 'F-mean               ', 'KA2-mean             ', 'modeKE               ', 'modeKA1              ', 'modeV                ', 'modeF                ', 'modeKA2              ',
10,     'S10A                ',    0.229884    ,             1.50560    ,             25.7162    ,             1.00698    ,             2.79880    ,            0.100000    ,           -0.409644E-02,            -16.3258    ,            0.362166E-05,           -0.290807E-05,            0.118906E-04,            0.135146E-04,            0.981965E-05,            0.197529E-02,            0.150793E-04,            0.665971E-05,            0.197691E-02,            0.197997E-02,           -0.301832E-05,            0.241828E-05,           -0.154155E-04,           -0.167209E-04,            0.237895E-04,             1.00000    ,            0.743450E-04,           -0.209970E-02,           -0.262001    ,            0.152610E-01,           -0.142116E-02,            0.229945    ,             1.50570    ,             25.8849    ,             1.01369    ,             2.79781    ,
11,     'S11A                ',    0.229899    ,             1.50476    ,             25.5712    ,             1.02097    ,             2.79858    ,            0.100000    ,           -0.409644E-02,            -16.0933    ,            0.358262E-05,           -0.284306E-05,            0.108896E-04,            0.132640E-04,            0.815276E-05,            0.196875E-02,            0.147942E-04,            0.520778E-05,            0.197058E-02,            0.197373E-02,           -0.298055E-05,            0.236895E-05,           -0.139523E-04,           -0.152300E-04,            0.237202E-04,             1.00000    ,            0.887702E-04,           -0.294355E-02,           -0.407000    ,            0.292505E-01,           -0.164784E-02,            0.229782    ,             1.50708    ,             25.4824    ,             1.01699    ,             2.80120    ,
12,     'S12A                ',    0.229889    ,             1.50559    ,             25.7199    ,             1.00713    ,             2.79876    ,            0.100000    ,           -0.409644E-02,            -16.2963    ,            0.362482E-05,           -0.290742E-05,            0.118910E-04,            0.135611E-04,            0.963487E-05,            0.197693E-02,            0.151249E-04,            0.647597E-05,            0.197858E-02,            0.198167E-02,           -0.302243E-05,            0.241441E-05,           -0.152014E-04,           -0.165017E-04,            0.238117E-04,             1.00000    ,            0.793647E-04,           -0.210919E-02,           -0.258335    ,            0.154095E-01,           -0.146384E-02,            0.229982    ,             1.50525    ,             26.0838    ,             1.02144    ,             2.80078    ,
13,     'S1B                 ',    0.229755    ,             1.51029    ,             26.2884    ,            0.998123    ,             2.80085    ,            0.100000    ,           -0.409644E-02,            -16.8845    ,            0.326118E-05,           -0.366788E-05,            0.478892E-04,           -0.971477E-06,            0.111842E-05,            0.559336E-06,            0.715083E-05,           -0.559251E-04,           -0.212220E-05,            0.212432E-02,           -0.233884E-05,            0.274082E-05,            0.142921E-05,           -0.576936E-05,            0.793341E-05,             2.00000    ,           -0.543514E-04,            0.258488E-02,            0.310218    ,            0.640479E-02,            0.629287E-03,            0.229793    ,             1.50928    ,             26.2838    ,            0.995963    ,             2.79880    ,
14,     'S2B                 ',    0.229713    ,             1.50735    ,             25.2817    ,            0.971782    ,             2.80310    ,            0.100000    ,           -0.409644E-02,            -16.5872    ,            0.313943E-05,           -0.355039E-05,            0.476722E-04,           -0.899377E-06,            0.103180E-05,            0.428798E-06,            0.683946E-05,           -0.572043E-04,           -0.191135E-05,            0.212096E-02,           -0.218526E-05,            0.256495E-05,            0.118972E-05,           -0.519036E-05,            0.624654E-05,             2.00000    ,           -0.966817E-04,           -0.353560E-03,           -0.696442    ,           -0.199362E-01,            0.287904E-02,            0.229675    ,             1.50693    ,             25.2843    ,            0.984838    ,             2.80282    ,
15,     'S3B                 ',    0.229809    ,             1.51326    ,             27.3782    ,             1.02617    ,             2.79888    ,            0.100000    ,           -0.409644E-02,            -16.2127    ,            0.336217E-05,           -0.379223E-05,            0.481092E-04,           -0.104289E-05,            0.119633E-05,            0.718574E-06,            0.733244E-05,           -0.562249E-04,           -0.217060E-05,            0.211846E-02,           -0.251713E-05,            0.293082E-05,            0.168335E-05,           -0.611021E-05,            0.969921E-05,             2.00000    ,           -0.531354E-06,            0.556203E-02,             1.39998    ,            0.344553E-01,           -0.134454E-02,            0.229926    ,             1.51310    ,             27.3789    ,             1.03153    ,             2.79874    ,
16,     'S4B                 ',    0.229881    ,             1.51631    ,             28.5685    ,             1.05660    ,             2.79849    ,            0.100000    ,           -0.409644E-02,            -14.7008    ,            0.344153E-05,           -0.389658E-05,            0.479986E-04,           -0.109660E-05,            0.128794E-05,            0.898758E-06,            0.763644E-05,           -0.575787E-04,           -0.221874E-05,            0.213057E-02,           -0.263395E-05,            0.316779E-05,            0.189746E-05,           -0.665360E-05,            0.113820E-04,             2.00000    ,            0.716012E-04,            0.860861E-02,             2.59027    ,            0.648776E-01,           -0.173576E-02,            0.229927    ,             1.51515    ,             28.5651    ,             1.06195    ,             2.79923    ,
17,     'S5B                 ',    0.229666    ,             1.50453    ,             24.3446    ,            0.947096    ,             2.80371    ,            0.100000    ,           -0.409644E-02,            -15.8634    ,            0.297368E-05,           -0.334048E-05,            0.473851E-04,           -0.807394E-06,            0.916705E-06,            0.314965E-06,            0.643331E-05,           -0.555903E-04,           -0.171407E-05,            0.212052E-02,           -0.198590E-05,            0.229358E-05,            0.947002E-06,           -0.447664E-05,            0.461625E-05,             2.00000    ,           -0.143897E-03,           -0.317155E-02,            -1.63359    ,           -0.446217E-01,            0.348971E-02,            0.229646    ,             1.50325    ,             24.3467    ,            0.952458    ,             2.80494    ,
18,     'S6B                 ',    0.229728    ,             1.50641    ,             25.0327    ,            0.965542    ,             2.80296    ,            0.100000    ,           -0.409644E-02,            -16.2148    ,            0.309984E-05,           -0.349001E-05,            0.477010E-04,           -0.874315E-06,            0.100111E-05,            0.396026E-06,            0.693593E-05,           -0.569702E-04,           -0.195625E-05,            0.212547E-02,           -0.211670E-05,            0.246002E-05,            0.111969E-05,           -0.520200E-05,            0.579588E-05,             2.00000    ,           -0.812976E-04,           -0.129383E-02,           -0.945539    ,           -0.261761E-01,            0.273909E-02,            0.229694    ,             1.50710    ,             25.0334    ,            0.951672    ,             2.80420    ,
19,     'S7B                 ',    0.229839    ,             1.51393    ,             27.6631    ,             1.03361    ,             2.79990    ,            0.100000    ,           -0.409644E-02,            -16.1183    ,            0.337486E-05,           -0.379512E-05,            0.478614E-04,           -0.105379E-05,            0.121415E-05,            0.757923E-06,            0.718168E-05,           -0.556054E-04,           -0.206381E-05,            0.211479E-02,           -0.254941E-05,            0.299033E-05,            0.174158E-05,           -0.604652E-05,            0.101426E-04,             2.00000    ,            0.296557E-04,            0.622919E-02,             1.68493    ,            0.418933E-01,           -0.327630E-03,            0.229799    ,             1.51706    ,             27.6642    ,             1.03278    ,             2.79903    ,
20,     'S8B                 ',    0.229716    ,             1.50811    ,             25.5237    ,            0.978079    ,             2.80176    ,            0.100000    ,           -0.409644E-02,            -16.3013    ,            0.317811E-05,           -0.356384E-05,            0.478201E-04,           -0.919312E-06,            0.104520E-05,            0.459409E-06,            0.700867E-05,           -0.572190E-04,           -0.201592E-05,            0.212669E-02,           -0.222309E-05,            0.257762E-05,            0.124489E-05,           -0.537819E-05,            0.662986E-05,             2.00000    ,           -0.941699E-04,            0.406625E-03,           -0.454502    ,           -0.136386E-01,            0.154092E-02,            0.229717    ,             1.50578    ,             25.5276    ,            0.969953    ,             2.80333    ,
21,     'S9B                 ',    0.229803    ,             1.51247    ,             27.0999    ,             1.01914    ,             2.80012    ,            0.100000    ,           -0.409644E-02,            -16.7117    ,            0.334030E-05,           -0.379015E-05,            0.478890E-04,           -0.102195E-05,            0.119816E-05,            0.673775E-06,            0.735315E-05,           -0.570619E-04,           -0.221266E-05,            0.212178E-02,           -0.246185E-05,            0.293687E-05,            0.161392E-05,           -0.630148E-05,            0.923426E-05,             2.00000    ,           -0.725416E-05,            0.476830E-02,             1.12174    ,            0.274237E-01,           -0.105363E-03,            0.229845    ,             1.51263    ,             27.0987    ,             1.00444    ,             2.79845    ,
22,     'S10B                ',    0.229792    ,             1.50683    ,             25.3038    ,            0.973062    ,             2.80275    ,            0.100000    ,           -0.409644E-02,            -16.5271    ,            0.312820E-05,           -0.352340E-05,            0.476698E-04,           -0.896833E-06,            0.102290E-05,            0.430014E-06,            0.680304E-05,           -0.554958E-04,           -0.196237E-05,            0.212517E-02,           -0.217748E-05,            0.253292E-05,            0.119021E-05,           -0.521124E-05,            0.627815E-05,             2.00000    ,           -0.177283E-04,           -0.874041E-03,           -0.674412    ,           -0.186561E-01,            0.252753E-02,            0.229819    ,             1.50527    ,             25.3025    ,            0.964050    ,             2.80386    ,
23,     'S11B                ',    0.229755    ,             1.50397    ,             24.3644    ,            0.948566    ,             2.80328    ,            0.100000    ,           -0.409644E-02,            -15.7729    ,            0.298603E-05,           -0.335760E-05,            0.475411E-04,           -0.811945E-06,            0.922458E-06,            0.318106E-06,            0.662102E-05,           -0.560332E-04,           -0.184217E-05,            0.212310E-02,           -0.198554E-05,            0.230083E-05,            0.952284E-06,           -0.487349E-05,            0.465081E-05,             2.00000    ,           -0.545703E-04,           -0.373647E-02,            -1.61384    ,           -0.431521E-01,            0.305354E-02,            0.229679    ,             1.50173    ,             24.3656    ,            0.949196    ,             2.80375    ,
24,     'S12B                ',    0.229874    ,             1.51289    ,             27.4054    ,             1.02748    ,             2.79871    ,            0.100000    ,           -0.409644E-02,            -16.2078    ,            0.335980E-05,           -0.380906E-05,            0.479171E-04,           -0.104411E-05,            0.121522E-05,            0.722371E-06,            0.735526E-05,           -0.573329E-04,           -0.216576E-05,            0.211921E-02,           -0.251609E-05,            0.297419E-05,            0.168428E-05,           -0.611618E-05,            0.970896E-05,             2.00000    ,            0.638150E-04,            0.518837E-02,             1.42725    ,            0.357619E-01,           -0.151003E-02,            0.229961    ,             1.50819    ,             27.3999    ,             1.03321    ,             2.79824    ,
