Created by:,MLEM,
Model Description:, Model Peroral con Output,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         0,                     5,                     2,                     0,
Number, IndividID,                'KE                   ', 'KA1                  ', 'V                    ', 'F                    ', 'KA2                  ', 'SDinter              ', 'SDslope              ', 'NegLogLikelihood     ', 'KE/KE                ', 'KA1/KE               ', 'KA1/KA1              ', 'V/KE                 ', 'V/KA1                ', 'V/V                  ', 'F/KE                 ', 'F/KA1                ', 'F/V                  ', 'F/F                  ', 'KA2/KE               ', 'KA2/KA1              ', 'KA2/V                ', 'KA2/F                ', 'KA2/KA2              ', 'R(   1)              ', 'KE-mean              ', 'KA1-mean             ', 'V-mean               ', 'F-mean               ', 'KA2-mean             ', 'modeKE               ', 'modeKA1              ', 'modeV                ', 'modeF                ', 'modeKA2              ',
       ,ParameterEstimated?   ,    Y,                       Y,                       Y,                       Y,                       Y,                       N,                       Y,
1,      'S1A                 ',    0.229827    ,             1.50586    ,             25.8721    ,            0.984534    ,             2.79946    ,            0.100000    ,           -0.409644E-02,            -16.6317    ,            0.365355E-05,           -0.298797E-05,            0.134083E-04,            0.135201E-04,            0.124395E-04,            0.198391E-02,            0.151167E-04,            0.895271E-05,            0.198507E-02,            0.198784E-02,           -0.304917E-05,            0.250059E-05,           -0.149690E-04,           -0.162973E-04,            0.237760E-04,             1.00000    ,            0.170654E-04,           -0.184715E-02,           -0.106099    ,           -0.718424E-02,           -0.761059E-03,            0.229996    ,             1.50479    ,             26.0723    ,            0.992458    ,             2.79775    ,
2,      'S2A                 ',    0.229832    ,             1.50556    ,             25.6787    ,             1.00657    ,             2.79930    ,            0.100000    ,           -0.409644E-02,            -16.4211    ,            0.362191E-05,           -0.291001E-05,            0.118727E-04,            0.134298E-04,            0.965310E-05,            0.197640E-02,            0.149930E-04,            0.649789E-05,            0.197808E-02,            0.198119E-02,           -0.302492E-05,            0.243317E-05,           -0.146511E-04,           -0.159602E-04,            0.238294E-04,             1.00000    ,            0.224210E-04,           -0.213730E-02,           -0.299488    ,            0.148569E-01,           -0.923776E-03,            0.229866    ,             1.50576    ,             25.4402    ,            0.997056    ,             2.79950    ,
3,      'S3A                 ',    0.229813    ,             1.50602    ,             26.0674    ,            0.962160    ,             2.79973    ,            0.100000    ,           -0.409644E-02,            -16.2105    ,            0.368221E-05,           -0.304881E-05,            0.149929E-04,            0.135303E-04,            0.158041E-04,            0.198784E-02,            0.151605E-04,            0.119863E-04,            0.198831E-02,            0.199059E-02,           -0.304325E-05,            0.253498E-05,           -0.145436E-04,           -0.158933E-04,            0.237543E-04,             1.00000    ,            0.328164E-05,           -0.168590E-02,            0.892094E-01,           -0.295576E-01,           -0.496101E-03,            0.229801    ,             1.50770    ,             26.2741    ,            0.969617    ,             2.79933    ,
4,      'S4A                 ',    0.229815    ,             1.50639    ,             26.2142    ,            0.947667    ,             2.79974    ,            0.100000    ,           -0.409644E-02,            -15.7528    ,            0.370840E-05,           -0.310080E-05,            0.161197E-04,            0.136166E-04,            0.178445E-04,            0.199007E-02,            0.152711E-04,            0.138053E-04,            0.199022E-02,            0.199232E-02,           -0.310626E-05,            0.258110E-05,           -0.146468E-04,           -0.160355E-04,            0.238914E-04,             1.00000    ,            0.555548E-05,           -0.131031E-02,            0.235959    ,           -0.440507E-01,           -0.482777E-03,            0.229815    ,             1.50671    ,             26.2430    ,            0.948476    ,             2.79933    ,
5,      'S5A                 ',    0.229845    ,             1.50474    ,             25.5342    ,             1.02054    ,             2.79913    ,            0.100000    ,           -0.409644E-02,            -16.1945    ,            0.358999E-05,           -0.283943E-05,            0.108255E-04,            0.134056E-04,            0.782303E-05,            0.197105E-02,            0.149378E-04,            0.489643E-05,            0.197298E-02,            0.197622E-02,           -0.299854E-05,            0.236220E-05,           -0.142461E-04,           -0.155216E-04,            0.238081E-04,             1.00000    ,            0.354475E-04,           -0.296067E-02,           -0.443969    ,            0.288221E-01,           -0.109052E-02,            0.229947    ,             1.50544    ,             25.5784    ,             1.02236    ,             2.79484    ,
6,      'S6A                 ',    0.229855    ,             1.50567    ,             25.3957    ,             1.04377    ,             2.79892    ,            0.100000    ,           -0.409644E-02,            -15.3359    ,            0.353541E-05,           -0.273767E-05,            0.938827E-05,            0.132983E-04,            0.521734E-05,            0.196407E-02,            0.147814E-04,            0.260252E-05,            0.196640E-02,            0.196990E-02,           -0.294732E-05,            0.227189E-05,           -0.148152E-04,           -0.160563E-04,            0.237243E-04,             1.00000    ,            0.454883E-04,           -0.203638E-02,           -0.582501    ,            0.520523E-01,           -0.130089E-02,            0.229785    ,             1.50638    ,             25.0266    ,             1.02845    ,             2.79810    ,
7,      'S7A                 ',    0.229801    ,             1.50698    ,             26.4380    ,            0.925476    ,             2.80001    ,            0.100000    ,           -0.409644E-02,            -14.6859    ,            0.374206E-05,           -0.315862E-05,            0.178109E-04,            0.137743E-04,            0.214676E-04,            0.200418E-02,            0.154643E-04,            0.170714E-04,            0.200375E-02,            0.200552E-02,           -0.311575E-05,            0.260298E-05,           -0.145044E-04,           -0.159081E-04,            0.238191E-04,             1.00000    ,           -0.854194E-05,           -0.719382E-03,            0.459795    ,           -0.662423E-01,           -0.215830E-03,            0.229724    ,             1.50876    ,             26.3375    ,            0.921675    ,             2.80014    ,
8,      'S8A                 ',    0.229821    ,             1.50658    ,             26.1588    ,            0.955517    ,             2.79966    ,            0.100000    ,           -0.409644E-02,            -15.9934    ,            0.369239E-05,           -0.307871E-05,            0.155780E-04,            0.133893E-04,            0.165662E-04,            0.198826E-02,            0.150315E-04,            0.126415E-04,            0.198869E-02,            0.199100E-02,           -0.308355E-05,            0.258888E-05,           -0.150302E-04,           -0.164038E-04,            0.239408E-04,             1.00000    ,            0.109831E-04,           -0.112229E-02,            0.180657    ,           -0.362008E-01,           -0.560985E-03,            0.229885    ,             1.50842    ,             26.2507    ,            0.958575    ,             2.79685    ,
9,      'S9A                 ',    0.229831    ,             1.50540    ,             25.6106    ,             1.01365    ,             2.79929    ,            0.100000    ,           -0.409644E-02,            -16.5061    ,            0.360111E-05,           -0.286674E-05,            0.113192E-04,            0.135425E-04,            0.857934E-05,            0.197570E-02,            0.150854E-04,            0.554251E-05,            0.197746E-02,            0.198059E-02,           -0.299501E-05,            0.238480E-05,           -0.141602E-04,           -0.154430E-04,            0.237171E-04,             1.00000    ,            0.208740E-04,           -0.230515E-02,           -0.367613    ,            0.219310E-01,           -0.930028E-03,            0.229822    ,             1.50578    ,             25.3969    ,             1.00529    ,             2.80237    ,
