Created by:,MLEM,
Model Description:, Model Peroral con Output,
NormalPopulationOption,
Iteration,    'KA                   ', 'F                    ', 'KA/KA                ', 'F/KA                 ', 'F/F                  ', 'SDslope              ', '-2LogLikelihood      ',
0,              2.00000    ,            0.800000    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100000E-01,
1,              2.13742    ,            0.805416    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.122500E-02,
2,              2.14653    ,            0.805716    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.106492E-02,            -803.490    ,
3,              2.14652    ,            0.805722    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.102062E-02,            -807.096    ,
4,              2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100989E-02,            -807.397    ,
5,              2.14652    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100746E-02,            -807.415    ,
6,              2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100689E-02,            -807.416    ,
7,              2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100674E-02,            -807.415    ,
8,              2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100676E-02,            -807.414    ,
9,              2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100674E-02,            -807.416    ,
10,             2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100672E-02,            -807.414    ,
11,             2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100671E-02,            -807.416    ,
12,             2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100670E-02,            -807.415    ,
13,             2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100672E-02,            -807.416    ,
14,             2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100675E-02,            -807.415    ,
15,             2.14651    ,            0.805724    ,            0.100000    ,             0.00000    ,            0.100000    ,            0.100673E-02,            -807.415    ,
16,             2.14651    ,            0.805724    ,            0.415480    ,             0.00000    ,            0.153157E-02,            0.100671E-02,            -807.417    ,
17,             2.14669    ,            0.805723    ,            0.415774    ,             0.00000    ,            0.153100E-02,            0.100707E-02,            -925.639    ,
18,             2.14669    ,            0.805723    ,            0.415773    ,             0.00000    ,            0.153103E-02,            0.100713E-02,            -925.639    ,
19,             2.14669    ,            0.805723    ,            0.415775    ,             0.00000    ,            0.153102E-02,            0.100713E-02,            -925.640    ,
20,             2.14669    ,            0.805723    ,            0.415773    ,             0.00000    ,            0.153100E-02,            0.100713E-02,            -925.640    ,
21,             2.14669    ,            0.805723    ,            0.415775    ,             0.00000    ,            0.153100E-02,            0.100708E-02,            -925.641    ,
22,             2.14669    ,            0.805723    ,            0.415773    ,             0.00000    ,            0.153101E-02,            0.100714E-02,            -925.639    ,
23,             2.14669    ,            0.805723    ,            0.415773    ,             0.00000    ,            0.153104E-02,            0.100710E-02,            -925.640    ,
24,             2.14669    ,            0.805723    ,            0.415772    ,             0.00000    ,            0.153100E-02,            0.100713E-02,            -925.640    ,
25,             2.14669    ,            0.805723    ,            0.415773    ,             0.00000    ,            0.153103E-02,            0.100711E-02,            -925.641    ,
26,             2.14669    ,            0.805723    ,            0.415773    ,             0.00000    ,            0.153105E-02,            0.100711E-02,            -925.640    ,
27,             2.14669    ,            0.805723    ,            0.415773    ,             0.00000    ,            0.153102E-02,            0.100712E-02,            -925.640    ,
28,             2.14669    ,            0.805723    ,            0.415773    ,             0.00000    ,            0.153098E-02,            0.100715E-02,            -925.639    ,
29,             2.14669    ,            0.805723    ,            0.415774    ,             0.00000    ,            0.153103E-02,            0.100709E-02,            -925.640    ,
30,             2.14669    ,            0.805723    ,            0.415773    ,             0.00000    ,            0.153101E-02,            0.100715E-02,            -925.640    ,
