Created by:,MLEM,
Model Description:, Model Peroral con Output,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         0,                     4,                     2,                     0,
Number, IndividID,                'KE                   ', 'KA                   ', 'V                    ', 'F                    ', 'SDinter              ', 'SDslope              ', 'NegLogLikelihood     ', 'KA/KA                ', 'F/KA                 ', 'F/F                  ', 'KA-mean              ', 'F-mean               ', 'modeKA               ', 'modeF                ',
       ,ParameterEstimated?   ,    N,                       Y,                       N,                       Y,                       N,                       Y,
1,      'S1A                 ',    0.230000    ,             1.50137    ,             21.0000    ,            0.799775    ,            0.100000E-01,            0.100709E-02,            -20.5637    ,            0.111405E-04,           -0.812695E-06,            0.302626E-06,           -0.645321    ,           -0.594787E-02,             1.50121    ,            0.799761    ,
2,      'S2A                 ',    0.230000    ,             1.50161    ,             21.0000    ,            0.823800    ,            0.100000E-01,            0.100709E-02,            -19.8197    ,            0.108415E-04,           -0.801529E-06,            0.309943E-06,           -0.645081    ,            0.180770E-01,             1.50153    ,            0.823791    ,
3,      'S3A                 ',    0.230000    ,             1.50059    ,             21.0000    ,            0.775862    ,            0.100000E-01,            0.100709E-02,            -20.1213    ,            0.114622E-04,           -0.808934E-06,            0.292061E-06,           -0.646098    ,           -0.298609E-01,             1.50037    ,            0.775885    ,
4,      'S4A                 ',    0.230000    ,             1.50137    ,             21.0000    ,            0.759820    ,            0.100000E-01,            0.100709E-02,            -19.9955    ,            0.116880E-04,           -0.810898E-06,            0.286061E-06,           -0.645319    ,           -0.459031E-01,             1.50140    ,            0.759850    ,
5,      'S5A                 ',    0.230000    ,             1.50076    ,             21.0000    ,            0.839922    ,            0.100000E-01,            0.100709E-02,            -19.5025    ,            0.106553E-04,           -0.804712E-06,            0.318349E-06,           -0.645926    ,            0.341989E-01,             1.50091    ,            0.839925    ,
6,      'S6A                 ',    0.230000    ,             1.50212    ,             21.0000    ,            0.863638    ,            0.100000E-01,            0.100709E-02,            -18.8430    ,            0.104332E-04,           -0.805879E-06,            0.329582E-06,           -0.644568    ,            0.579156E-01,             1.50219    ,            0.863659    ,
7,      'S7A                 ',    0.230000    ,             1.50050    ,             21.0000    ,            0.735908    ,            0.100000E-01,            0.100709E-02,            -19.5791    ,            0.120286E-04,           -0.816792E-06,            0.275893E-06,           -0.646186    ,           -0.698146E-01,             1.50025    ,            0.735894    ,
8,      'S8A                 ',    0.230000    ,             1.50165    ,             21.0000    ,            0.767694    ,            0.100000E-01,            0.100709E-02,            -20.1922    ,            0.115607E-04,           -0.809905E-06,            0.287744E-06,           -0.645039    ,           -0.380283E-01,             1.50161    ,            0.767694    ,
9,      'S9A                 ',    0.230000    ,             1.50108    ,             21.0000    ,            0.831859    ,            0.100000E-01,            0.100709E-02,            -20.1514    ,            0.107045E-04,           -0.797168E-06,            0.313827E-06,           -0.645605    ,            0.261364E-01,             1.50092    ,            0.831868    ,
10,     'S10A                ',    0.230000    ,             1.50416    ,             21.0000    ,            0.822273    ,            0.100000E-01,            0.100709E-02,            -18.0316    ,            0.109708E-04,           -0.809982E-06,            0.311846E-06,           -0.642526    ,            0.165506E-01,             1.50406    ,            0.822245    ,
11,     'S11A                ',    0.230000    ,             1.50329    ,             21.0000    ,            0.838391    ,            0.100000E-01,            0.100709E-02,            -18.1179    ,            0.106693E-04,           -0.802165E-06,            0.317257E-06,           -0.643394    ,            0.326682E-01,             1.50305    ,            0.838437    ,
12,     'S12A                ',    0.230000    ,             1.50458    ,             21.0000    ,            0.822188    ,            0.100000E-01,            0.100709E-02,            -16.9647    ,            0.109475E-04,           -0.807448E-06,            0.309519E-06,           -0.642110    ,            0.164651E-01,             1.50458    ,            0.822200    ,
13,     'S1B                 ',    0.230000    ,             2.78956    ,             21.0000    ,            0.799685    ,            0.100000E-01,            0.100709E-02,            -20.9312    ,            0.818887E-04,           -0.125274E-05,            0.254817E-06,            0.642872    ,           -0.603779E-02,             2.78906    ,            0.799656    ,
14,     'S2B                 ',    0.230000    ,             2.79131    ,             21.0000    ,            0.831534    ,            0.100000E-01,            0.100709E-02,            -20.4396    ,            0.797939E-04,           -0.125194E-05,            0.265199E-06,            0.644624    ,            0.258117E-01,             2.79101    ,            0.831532    ,
15,     'S3B                 ',    0.230000    ,             2.78773    ,             21.0000    ,            0.767837    ,            0.100000E-01,            0.100709E-02,            -20.4895    ,            0.845569E-04,           -0.123601E-05,            0.242694E-06,            0.641039    ,           -0.378860E-01,             2.78711    ,            0.767834    ,
16,     'S4B                 ',    0.230000    ,             2.78905    ,             21.0000    ,            0.735685    ,            0.100000E-01,            0.100709E-02,            -19.5913    ,            0.876454E-04,           -0.126546E-05,            0.231317E-06,            0.642365    ,           -0.700378E-01,             2.78901    ,            0.735664    ,
17,     'S5B                 ',    0.230000    ,             2.79057    ,             21.0000    ,            0.863636    ,            0.100000E-01,            0.100709E-02,            -18.6055    ,            0.769413E-04,           -0.125216E-05,            0.278161E-06,            0.643884    ,            0.579131E-01,             2.79055    ,            0.863658    ,
18,     'S6B                 ',    0.230000    ,             2.79031    ,             21.0000    ,            0.839797    ,            0.100000E-01,            0.100709E-02,            -20.1799    ,            0.793820E-04,           -0.124215E-05,            0.269875E-06,            0.643626    ,            0.340742E-01,             2.78970    ,            0.839820    ,
19,     'S7B                 ',    0.230000    ,             2.79174    ,             21.0000    ,            0.759728    ,            0.100000E-01,            0.100709E-02,            -20.6856    ,            0.854707E-04,           -0.124650E-05,            0.238293E-06,            0.645050    ,           -0.459950E-01,             2.79157    ,            0.759721    ,
20,     'S8B                 ',    0.230000    ,             2.78865    ,             21.0000    ,            0.823733    ,            0.100000E-01,            0.100709E-02,            -20.0888    ,            0.802680E-04,           -0.125347E-05,            0.263500E-06,            0.641965    ,            0.180101E-01,             2.78907    ,            0.823693    ,
