Plot-Time     ,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0121457,0.481056,0.495585,0.466433,0.457024,0.505002,0.519727,0.442388,0.461846,0.50026,0.495501,0.504924,0.495585,0.886771,0.922658,0.850904,0.815655,0.958027,0.931498,0.843109,0.913145,0.860401,0.923124,0.958511,0.851319
0.0242915,0.952077,0.980831,0.923141,0.904514,0.999473,1.02861,0.875552,0.914056,0.990087,0.980649,0.999304,0.980813,1.74153,1.81199,1.67111,1.60187,1.88145,1.82936,1.65576,1.79333,1.68973,1.81284,1.88234,1.67186
0.0364372,1.41325,1.45593,1.3703,1.34265,1.48361,1.52684,1.29966,1.35681,1.46967,1.45564,1.48333,1.45588,2.56534,2.6691,2.46163,2.35962,2.77144,2.69471,2.43897,2.64167,2.48903,2.67026,2.77265,2.46265
0.048583,1.86475,1.92106,1.80809,1.77159,1.9576,2.01463,1.71489,1.79028,1.93921,1.92065,1.95721,1.92096,3.35925,3.49509,3.22348,3.08988,3.62912,3.52864,3.19372,3.45922,3.2593,3.49648,3.63056,3.22469
0.0607287,2.30677,2.37642,2.23669,2.19153,2.42163,2.49216,2.12139,2.21464,2.39887,2.37587,2.42111,2.37625,4.12426,4.29099,3.95761,3.79355,4.45555,4.3322,3.92099,4.24701,4.00152,4.29254,4.45718,3.95895
0.0728745,2.73947,2.82219,2.65626,2.60261,2.87588,2.95962,2.51933,2.63005,2.84885,2.82149,2.87523,2.82194,4.86133,5.05781,4.66496,4.47154,5.25181,5.10642,4.62168,5.00605,4.71664,5.05947,5.25355,4.66637
0.0850202,3.16303,3.25853,3.06696,3.00501,3.32055,3.4172,2.90887,3.03668,3.28933,3.25768,3.31974,3.25818,5.57141,5.79653,5.34641,5.1247,6.01889,5.85227,5.29669,5.7373,5.40556,5.79823,6.02068,5.34784
0.097166,3.57761,3.68563,3.46897,3.39888,3.75579,3.86509,3.29015,3.4347,3.72048,3.68461,3.75482,3.68517,6.25541,6.5081,6.00284,5.75387,6.75778,6.57072,5.94688,6.4417,6.06915,6.50979,6.75957,6.00423
0.109312,3.98339,4.10365,3.86245,3.78439,4.18179,4.30345,3.66335,3.82427,4.14246,4.10245,4.18065,4.10307,6.91419,7.19342,6.6351,6.35985,7.46943,7.26268,6.57309,7.12013,6.70828,7.19504,7.47116,6.63639
