"Property";"Value"
"Atom count";"16"
"Heavy atom count";"10"
"Asymmetric atom count";"2"
"Rotatable bond count";"3"
"Ring count";"0"
"Aromatic ring count";"0"
"Hetero ring count";"0"
"FSP3";"0.50"
"Hydrogen bond donor count";"4"
"Hydrogen bond acceptor count";"4"
"Formal charge";"0"
"Topological polar surface area";"74.60 A2"
"Polarizability";"15.46 A3"
"Molar refractivity";"38.47 cm3/mol"
