"pH";"Charge"
"0.0";"-0.00"
"0.1";"-0.00"
"0.2";"-0.00"
"0.3";"-0.00"
"0.4";"-0.00"
"0.5";"-0.00"
"0.6";"-0.00"
"0.7";"-0.00"
"0.8";"-0.00"
"0.9";"-0.00"
"1.0";"-0.00"
"1.1";"-0.01"
"1.2";"-0.01"
"1.3";"-0.01"
"1.4";"-0.01"
"1.5";"-0.01"
"1.6";"-0.02"
"1.7";"-0.02"
"1.8";"-0.03"
"1.9";"-0.03"
"2.0";"-0.04"
"2.1";"-0.05"
"2.2";"-0.06"
"2.3";"-0.08"
"2.4";"-0.10"
"2.5";"-0.12"
"2.6";"-0.15"
"2.7";"-0.18"
"2.8";"-0.22"
"2.9";"-0.26"
"3.0";"-0.31"
"3.1";"-0.36"
"3.2";"-0.41"
"3.3";"-0.47"
"3.4";"-0.53"
"3.5";"-0.60"
"3.6";"-0.66"
"3.7";"-0.72"
"3.8";"-0.77"
"3.9";"-0.83"
"4.0";"-0.88"
"4.1";"-0.92"
"4.2";"-0.97"
"4.3";"-1.02"
"4.4";"-1.07"
"4.5";"-1.11"
"4.6";"-1.17"
"4.7";"-1.22"
"4.8";"-1.27"
"4.9";"-1.33"
"5.0";"-1.39"
"5.1";"-1.45"
"5.2";"-1.52"
"5.3";"-1.58"
"5.4";"-1.63"
"5.5";"-1.69"
"5.6";"-1.73"
"5.7";"-1.78"
"5.8";"-1.81"
"5.9";"-1.85"
"6.0";"-1.88"
"6.1";"-1.90"
"6.2";"-1.92"
"6.3";"-1.93"
"6.4";"-1.95"
"6.5";"-1.96"
"6.6";"-1.97"
"6.7";"-1.98"
"6.8";"-1.98"
"6.9";"-1.99"
"7.0";"-1.99"
"7.1";"-2.00"
"7.2";"-2.00"
"7.3";"-2.01"
"7.4";"-2.01"
"7.5";"-2.02"
"7.6";"-2.02"
"7.7";"-2.03"
"7.8";"-2.04"
"7.9";"-2.05"
"8.0";"-2.06"
"8.1";"-2.08"
"8.2";"-2.09"
"8.3";"-2.12"
"8.4";"-2.15"
"8.5";"-2.18"
"8.6";"-2.22"
"8.7";"-2.27"
"8.8";"-2.32"
"8.9";"-2.39"
"9.0";"-2.46"
"9.1";"-2.55"
"9.2";"-2.64"
"9.3";"-2.73"
"9.4";"-2.84"
"9.5";"-2.94"
"9.6";"-3.05"
"9.7";"-3.16"
"9.8";"-3.26"
"9.9";"-3.36"
"10.0";"-3.45"
"10.1";"-3.53"
"10.2";"-3.60"
"10.3";"-3.67"
"10.4";"-3.73"
"10.5";"-3.78"
"10.6";"-3.82"
"10.7";"-3.85"
"10.8";"-3.88"
"10.9";"-3.90"
"11.0";"-3.92"
"11.1";"-3.94"
"11.2";"-3.95"
"11.3";"-3.96"
"11.4";"-3.97"
"11.5";"-3.97"
"11.6";"-3.98"
"11.7";"-3.98"
"11.8";"-3.99"
"11.9";"-3.99"
"12.0";"-3.99"
"12.1";"-3.99"
"12.2";"-3.99"
"12.3";"-4.00"
"12.4";"-4.00"
"12.5";"-4.00"
"12.6";"-4.00"
"12.7";"-4.00"
"12.8";"-4.00"
"12.9";"-4.00"
"13.0";"-4.00"
"13.1";"-4.00"
"13.2";"-4.00"
"13.3";"-4.00"
"13.4";"-4.00"
"13.5";"-4.00"
"13.6";"-4.00"
"13.7";"-4.00"
"13.8";"-4.00"
"13.9";"-4.00"
"14.0";"-4.00"
