"pH";"logD"
"0.0";"0.26"
"0.1";"0.26"
"0.2";"0.26"
"0.3";"0.26"
"0.4";"0.26"
"0.5";"0.26"
"0.6";"0.26"
"0.7";"0.26"
"0.8";"0.26"
"0.9";"0.26"
"1.0";"0.26"
"1.1";"0.26"
"1.2";"0.26"
"1.3";"0.26"
"1.4";"0.25"
"1.5";"0.25"
"1.6";"0.25"
"1.7";"0.25"
"1.8";"0.25"
"1.9";"0.24"
"2.0";"0.24"
"2.1";"0.24"
"2.2";"0.23"
"2.3";"0.22"
"2.4";"0.21"
"2.5";"0.20"
"2.6";"0.19"
"2.7";"0.17"
"2.8";"0.16"
"2.9";"0.13"
"3.0";"0.10"
"3.1";"0.07"
"3.2";"0.03"
"3.3";"-0.01"
"3.4";"-0.06"
"3.5";"-0.11"
"3.6";"-0.18"
"3.7";"-0.24"
"3.8";"-0.31"
"3.9";"-0.39"
"4.0";"-0.47"
"4.1";"-0.56"
"4.2";"-0.65"
"4.3";"-0.74"
"4.4";"-0.84"
"4.5";"-0.94"
"4.6";"-1.05"
"4.7";"-1.16"
"4.8";"-1.27"
"4.9";"-1.38"
"5.0";"-1.50"
"5.1";"-1.63"
"5.2";"-1.76"
"5.3";"-1.90"
"5.4";"-2.04"
"5.5";"-2.18"
"5.6";"-2.33"
"5.7";"-2.49"
"5.8";"-2.65"
"5.9";"-3.85"
"6.0";"-3.93"
"6.1";"-4.01"
"6.2";"-4.09"
"6.3";"-4.18"
"6.4";"-4.27"
"6.5";"-4.36"
"6.6";"-4.45"
"6.7";"-4.54"
"6.8";"-4.64"
"6.9";"-4.73"
"7.0";"-4.83"
"7.1";"-4.93"
"7.2";"-5.03"
"7.3";"-5.12"
"7.4";"-5.22"
"7.5";"-5.32"
"7.6";"-5.42"
"7.7";"-5.51"
"7.8";"-5.61"
"7.9";"-5.70"
"8.0";"-5.80"
"8.1";"-5.89"
"8.2";"-6.83"
"8.3";"-6.84"
"8.4";"-6.85"
"8.5";"-6.86"
"8.6";"-6.87"
"8.7";"-6.89"
"8.8";"-6.91"
"8.9";"-6.94"
"9.0";"-6.97"
"9.1";"-7.00"
"9.2";"-7.05"
"9.3";"-7.10"
"9.4";"-7.15"
"9.5";"-7.22"
"9.6";"-7.29"
"9.7";"-7.37"
"9.8";"-7.46"
"9.9";"-7.55"
"10.0";"-7.65"
"10.1";"-7.75"
"10.2";"-7.86"
"10.3";"-7.97"
"10.4";"-8.08"
"10.5";"-8.18"
"10.6";"-8.28"
"10.7";"-8.38"
"10.8";"-8.47"
"10.9";"-8.56"
"11.0";"-8.63"
"11.1";"-8.70"
"11.2";"-8.80"
"11.3";"-8.84"
"11.4";"-8.88"
"11.5";"-8.92"
"11.6";"-8.94"
"11.7";"-8.97"
"11.8";"-8.99"
"11.9";"-9.01"
"12.0";"-9.02"
"12.1";"-9.04"
"12.2";"-9.04"
"12.3";"-9.05"
"12.4";"-9.06"
"12.5";"-9.06"
"12.6";"-9.07"
"12.7";"-9.07"
"12.8";"-9.09"
"12.9";"-9.09"
"13.0";"-9.09"
"13.1";"-9.09"
"13.2";"-9.09"
"13.3";"-9.09"
"13.4";"-9.09"
"13.5";"-9.09"
"13.6";"-9.09"
"13.7";"-9.09"
"13.8";"-9.09"
"13.9";"-9.09"
"14.0";"-9.09"
