"Property";"Value"
"Input";"succimer"
"Molar mass";"182.21 g/mol"
"Exact mass";"181.970751021 Da"
"Formula";"C4H6O4S2"
"Composition";"C (26.37%), H (3.32%), O (35.12%), S (35.19%)"
"Lipinski's rule of five";"true"
