"pH";"mg/ml"
"0.0";"12.11"
"0.1";"12.11"
"0.2";"12.11"
"0.3";"12.11"
"0.4";"12.12"
"0.5";"12.12"
"0.6";"12.12"
"0.7";"12.13"
"0.8";"12.13"
"0.9";"12.14"
"1.0";"12.15"
"1.1";"12.17"
"1.2";"12.18"
"1.3";"12.20"
"1.4";"12.23"
"1.5";"12.27"
"1.6";"12.31"
"1.7";"12.36"
"1.8";"12.43"
"1.9";"12.51"
"2.0";"12.62"
"2.1";"12.75"
"2.2";"12.92"
"2.3";"13.13"
"2.4";"13.40"
"2.5";"13.73"
"2.6";"14.15"
"2.7";"14.69"
"2.8";"15.36"
"2.9";"16.20"
"3.0";"17.27"
"3.1";"18.61"
"3.2";"20.31"
"3.3";"22.45"
"3.4";"25.15"
"3.5";"28.56"
"3.6";"32.89"
"3.7";"38.36"
"3.8";"45.31"
"3.9";"54.15"
"4.0";"65.41"
"4.1";"79.81"
"4.2";"98.29"
"4.3";"122.11"
"4.4";"152.97"
"4.5";"193.21"
"4.6";"246.08"
"4.7";"316.12"
"4.8";"409.84"
"4.9";"536.60"
"5.0";"710.08"
"5.1";"950.52"
"5.2";"1210.22"
"5.3";"1210.22"
"5.4";"1210.22"
"5.5";"1210.22"
"5.6";"1210.22"
"5.7";"1210.22"
"5.8";"1210.22"
"5.9";"1210.22"
"6.0";"1210.22"
"6.1";"1210.22"
"6.2";"1210.22"
"6.3";"1210.22"
"6.4";"1210.22"
"6.5";"1210.22"
"6.6";"1210.22"
"6.7";"1210.22"
"6.8";"1210.22"
"6.9";"1210.22"
"7.0";"1210.22"
"7.1";"1210.22"
"7.2";"1210.22"
"7.3";"1210.22"
"7.4";"1210.22"
"7.5";"1210.22"
"7.6";"1210.22"
"7.7";"1210.22"
"7.8";"1210.22"
"7.9";"1210.22"
"8.0";"1210.22"
"8.1";"1210.22"
"8.2";"1210.22"
"8.3";"1210.22"
"8.4";"1210.22"
"8.5";"1210.22"
"8.6";"1210.22"
"8.7";"1210.22"
"8.8";"1210.22"
"8.9";"1210.22"
"9.0";"1210.22"
"9.1";"1210.22"
"9.2";"1210.22"
"9.3";"1210.22"
"9.4";"1210.22"
"9.5";"1210.22"
"9.6";"1210.22"
"9.7";"1210.22"
"9.8";"1210.22"
"9.9";"1210.22"
"10.0";"1210.22"
"10.1";"1210.22"
"10.2";"1210.22"
"10.3";"1210.22"
"10.4";"1210.22"
"10.5";"1210.22"
"10.6";"1210.22"
"10.7";"1210.22"
"10.8";"1210.22"
"10.9";"1210.22"
"11.0";"1210.22"
"11.1";"1210.22"
"11.2";"1210.22"
"11.3";"1210.22"
"11.4";"1210.22"
"11.5";"1210.22"
"11.6";"1210.22"
"11.7";"1210.22"
"11.8";"1210.22"
"11.9";"1210.22"
"12.0";"1210.22"
"12.1";"1210.22"
"12.2";"1210.22"
"12.3";"1210.22"
"12.4";"1210.22"
"12.5";"1210.22"
"12.6";"1210.22"
"12.7";"1210.22"
"12.8";"1210.22"
"12.9";"1210.22"
"13.0";"1210.22"
"13.1";"1210.22"
"13.2";"1210.22"
"13.3";"1210.22"
"13.4";"1210.22"
"13.5";"1210.22"
"13.6";"1210.22"
"13.7";"1210.22"
"13.8";"1210.22"
"13.9";"1210.22"
"14.0";"1210.22"
